direction,format,number,Stimulus
right,schema,1,right_schema_1_WHI.jpg
right,schema,3,right_schema_3_WHI.jpg
ahead,schema,1,ahead_schema_1_WHI.jpg
ahead,schema,3,ahead_schema_3_WHI.jpg
left,schema,1,left_schema_1_WHI.jpg
left,schema,2,left_schema_2_WHI.jpg
right,word,1,right_word_1_WHI.jpg
right,word,2,right_word_2_WHI.jpg
ahead,word,1,ahead_word_1_WHI.jpg
ahead,word,2,ahead_word_2_WHI.jpg
left,word,1,left_word_1_WHI.jpg
left,word,2,left_word_2_WHI.jpg
right,image,1,right_image_1_WHI.jpg
right,image,2,right_image_2_WHI.jpg
ahead,image,1,ahead_image_1_WHI.jpg
ahead,image,2,ahead_image_2_WHI.jpg
left,image,1,left_image_1_WHI.jpg
left,image,2,left_image_2_WHI.jpg
