color,answer,repeat_color_practice.thisRepN,repeat_color_practice.thisTrialN,repeat_color_practice.thisN,repeat_color_practice.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_8.keys,key_resp_8.rt,key_resp_9.keys,key_resp_9.rt,key_resp_6.keys,key_resp_6.rt,key_resp_11.keys,key_resp_11.rt,colorpractice_numVertices,colorpractice_correct,key_resp_13.keys,key_resp_13.rt,color_response.keys,color_response.rt,date,frameRate,expName,participant,
,,,,,,,,,,,,,,s,0.499186731384,,,,,,,,,,,,,,,2018_Aug_09_1209,60.0293857651,Arrows_VVA_Color,1001,
,,,,,,,,,,,,,,,,d,0.434052951483,,,,,,,,,,,,,2018_Aug_09_1209,60.0293857651,Arrows_VVA_Color,1001,
,,,,,,,,,,,,,,,,,,d,0.516919334017,,,,,,,,,,,2018_Aug_09_1209,60.0293857651,Arrows_VVA_Color,1001,
#d7191c,r,0,0,0,0,0,0,0,2,,,,,,,,,,,d,1.03313182716,f,0.401142012097,4,,,,,,2018_Aug_09_1209,60.0293857651,Arrows_VVA_Color,1001,
#d7191c,r,0,0,0,0,0,1,1,1,,,,,,,,,,,,,a,0.251105219779,999,1,,,,,2018_Aug_09_1209,60.0293857651,Arrows_VVA_Color,1001,
#2c7bb6,b,0,0,0,0,0,2,2,7,,,,,,,,,,,,,f,0.217422288782,6,,,,,,2018_Aug_09_1209,60.0293857651,Arrows_VVA_Color,1001,
#d7191c,r,0,0,0,0,0,3,3,0,,,,,,,,,,,,,a,0.13435376047,999,0,,,,,2018_Aug_09_1209,60.0293857651,Arrows_VVA_Color,1001,
#2c7bb6,b,0,0,0,0,0,4,4,8,,,,,,,,,,,,,f,0.168006793527,6,,,,,,2018_Aug_09_1209,60.0293857651,Arrows_VVA_Color,1001,
#fdae61,o,0,0,0,0,0,5,5,3,,,,,,,,,,,,,a,0.152682090731,5,0,,,,,2018_Aug_09_1209,60.0293857651,Arrows_VVA_Color,1001,
#fdae61,o,0,0,0,0,0,6,6,5,,,,,,,,,,,,,f,0.184882619345,3,,,,,,2018_Aug_09_1209,60.0293857651,Arrows_VVA_Color,1001,
#fdae61,o,0,0,0,0,0,7,7,4,,,,,,,,,,,,,a,0.28426069755,999,1,,,,,2018_Aug_09_1209,60.0293857651,Arrows_VVA_Color,1001,
#2c7bb6,b,0,0,0,0,0,8,8,6,,,,,,,,,,,,,a,0.784186845174,3,,,,,,2018_Aug_09_1209,60.0293857651,Arrows_VVA_Color,1001,
#2c7bb6,b,0,0,0,0,1,0,9,8,,,,,,,,,,,,,a,0.417501986874,6,1,,,,,2018_Aug_09_1209,60.0293857651,Arrows_VVA_Color,1001,
#2c7bb6,b,0,0,0,0,1,1,10,7,,,,,,,,,,,,,a,0.284367348413,999,,,,,,2018_Aug_09_1209,60.0293857651,Arrows_VVA_Color,1001,
#fdae61,o,0,0,0,0,1,2,11,4,,,,,,,,,,,,,a,0.15094979511,3,0,,,,,2018_Aug_09_1209,60.0293857651,Arrows_VVA_Color,1001,
#fdae61,o,0,0,0,0,1,3,12,3,,,,,,,,,,,,,a,0.167693980742,5,,,,,,2018_Aug_09_1209,60.0293857651,Arrows_VVA_Color,1001,
#d7191c,r,0,0,0,0,1,4,13,0,,,,,,,,,,,,,a,0.134455056477,3,0,,,,,2018_Aug_09_1209,60.0293857651,Arrows_VVA_Color,1001,
#2c7bb6,b,0,0,0,0,1,5,14,6,,,,,,,,,,,,,a,0.117713994512,999,,,,,,2018_Aug_09_1209,60.0293857651,Arrows_VVA_Color,1001,
#d7191c,r,0,0,0,0,1,6,15,1,,,,,,,,,,,,,a,0.150780670936,4,0,,,,,2018_Aug_09_1209,60.0293857651,Arrows_VVA_Color,1001,
#d7191c,r,0,0,0,0,1,7,16,2,,,,,,,,,,,,,a,0.28409960566,6,,,,,,2018_Aug_09_1209,60.0293857651,Arrows_VVA_Color,1001,
#fdae61,o,0,0,0,0,1,8,17,5,,,,,,,,,,,,,a,0.267298747813,5,0,,,,,2018_Aug_09_1209,60.0293857651,Arrows_VVA_Color,1001,
#fdae61,o,1,0,1,0,0,0,0,5,,,,,,,,,,,d,0.31785304225,f,0.25112217682,999,,,,,,2018_Aug_09_1209,60.0293857651,Arrows_VVA_Color,1001,
#2c7bb6,b,1,0,1,0,0,1,1,8,,,,,,,,,,,,,a,0.168258917953,3,0,,,,,2018_Aug_09_1209,60.0293857651,Arrows_VVA_Color,1001,
