color,answer,repeat_color_practice.thisRepN,repeat_color_practice.thisTrialN,repeat_color_practice.thisN,repeat_color_practice.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_8.keys,key_resp_8.rt,key_resp_9.keys,key_resp_9.rt,key_resp_6.keys,key_resp_6.rt,key_resp_11.keys,key_resp_11.rt,colorpractice_correct,colorpractice_numVertices,key_resp_13.keys,key_resp_13.rt,color_response.keys,color_response.rt,date,frameRate,expName,participant,
,,,,,,,,,,,,,,f,13.575230918,,,,,,,,,,,,,,,2018_Jul_20_1125,60.0384458784,Arrows_VVA_Color,1001,
,,,,,,,,,,,,,,,,f,9.87915019855,,,,,,,,,,,,,2018_Jul_20_1125,60.0384458784,Arrows_VVA_Color,1001,
,,,,,,,,,,,,,,,,,,f,9.04587926443,,,,,,,,,,,2018_Jul_20_1125,60.0384458784,Arrows_VVA_Color,1001,
#fdae61,o,0,0,0,0,0,0,0,3,,,,,,,,,,,f,30.7687044807,f,5.83121689179,1,999,,,,,2018_Jul_20_1125,60.0384458784,Arrows_VVA_Color,1001,
#d7191c,r,0,0,0,0,0,1,1,1,,,,,,,,,,,,,a,1.60117932284,0,5,,,,,2018_Jul_20_1125,60.0384458784,Arrows_VVA_Color,1001,
#fdae61,o,0,0,0,0,0,2,2,4,,,,,,,,,,,,,a,3.16672549598,0,3,,,,,2018_Jul_20_1125,60.0384458784,Arrows_VVA_Color,1001,
#2c7bb6,b,0,0,0,0,0,3,3,6,,,,,,,,,,,,,a,1.91720732352,0,4,,,,,2018_Jul_20_1125,60.0384458784,Arrows_VVA_Color,1001,
#d7191c,r,0,0,0,0,0,4,4,2,,,,,,,,,,,,,f,3.11595588829,1,6,,,,,2018_Jul_20_1125,60.0384458784,Arrows_VVA_Color,1001,
#2c7bb6,b,0,0,0,0,0,5,5,7,,,,,,,,,,,,,a,3.39952082757,0,4,,,,,2018_Jul_20_1125,60.0384458784,Arrows_VVA_Color,1001,
#2c7bb6,b,0,0,0,0,0,6,6,8,,,,,,,,,,,,,f,1.4509102625,0,999,,,,,2018_Jul_20_1125,60.0384458784,Arrows_VVA_Color,1001,
#fdae61,o,0,0,0,0,0,7,7,5,,,,,,,,,,,,,a,4.1978163696,0,3,,,,,2018_Jul_20_1125,60.0384458784,Arrows_VVA_Color,1001,
#d7191c,r,0,0,0,0,0,8,8,0,,,,,,,,,,,,,a,2.26695722835,0,4,,,,,2018_Jul_20_1125,60.0384458784,Arrows_VVA_Color,1001,
#fdae61,o,1,0,1,0,0,0,0,5,,,,,,,,,,,f,22.039535964,f,4.58185624202,1,4,,,,,2018_Jul_20_1125,60.0384458784,Arrows_VVA_Color,1001,
#fdae61,o,1,0,1,0,0,1,1,3,,,,,,,,,,,,,f,1.41624277594,0,5,,,,,2018_Jul_20_1125,60.0384458784,Arrows_VVA_Color,1001,
#d7191c,r,1,0,1,0,0,2,2,2,,,,,,,,,,,,,a,2.78227508281,0,6,,,,,2018_Jul_20_1125,60.0384458784,Arrows_VVA_Color,1001,
#fdae61,o,1,0,1,0,0,3,3,4,,,,,,,,,,,,,a,1.96613842272,0,3,,,,,2018_Jul_20_1125,60.0384458784,Arrows_VVA_Color,1001,
#2c7bb6,b,1,0,1,0,0,4,4,6,,,,,,,,,,,,,a,1.66659586327,0,5,,,,,2018_Jul_20_1125,60.0384458784,Arrows_VVA_Color,1001,
#2c7bb6,b,1,0,1,0,0,5,5,7,,,,,,,,,,,,,f,1.49945804162,0,6,,,,,2018_Jul_20_1125,60.0384458784,Arrows_VVA_Color,1001,
#d7191c,r,1,0,1,0,0,6,6,0,,,,,,,,,,,,,a,1.3669337115,0,999,,,,,2018_Jul_20_1125,60.0384458784,Arrows_VVA_Color,1001,
#2c7bb6,b,1,0,1,0,0,7,7,8,,,,,,,,,,,,,a,2.03328682025,0,5,,,,,2018_Jul_20_1125,60.0384458784,Arrows_VVA_Color,1001,
#d7191c,r,1,0,1,0,0,8,8,1,,,,,,,,,,,,,a,2.06607965294,0,4,,,,,2018_Jul_20_1125,60.0384458784,Arrows_VVA_Color,1001,
,,,,,,,,,,,,,,,,,,,,,,,,,,f,11.8445438469,,,2018_Jul_20_1125,60.0384458784,Arrows_VVA_Color,1001,
#d7191c,r,,,,,,,,,0,0,0,5,,,,,,,,,,,1,999,,,f,4.88178122909,2018_Jul_20_1125,60.0384458784,Arrows_VVA_Color,1001,
#d7191c,r,,,,,,,,,0,1,1,7,,,,,,,,,,,0,3,,,f,1.28298125748,2018_Jul_20_1125,60.0384458784,Arrows_VVA_Color,1001,
