color,answer,repeat_color_practice.thisRepN,repeat_color_practice.thisTrialN,repeat_color_practice.thisN,repeat_color_practice.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_8.keys,key_resp_8.rt,key_resp_9.keys,key_resp_9.rt,key_resp_6.keys,key_resp_6.rt,key_resp_11.keys,key_resp_11.rt,colorpractice_numVertices,colorpractice_correct,key_resp_13.keys,key_resp_13.rt,color_response.keys,color_response.rt,date,frameRate,expName,participant,
,,,,,,,,,,,,,,d,6.26072325371,,,,,,,,,,,,,,,2018_Nov_05_0854,59.9382899695,Arrows_VVA_Color,1003,
,,,,,,,,,,,,,,,,d,1.58502929658,,,,,,,,,,,,,2018_Nov_05_0854,59.9382899695,Arrows_VVA_Color,1003,
,,,,,,,,,,,,,,,,,,d,0.951074746437,,,,,,,,,,,2018_Nov_05_0854,59.9382899695,Arrows_VVA_Color,1003,
#d7191c,r,0,0,0,0,0,0,0,0,,,,,,,,,,,d,3.58712176746,f,1.31763073336,5,,,,,,2018_Nov_05_0854,59.9382899695,Arrows_VVA_Color,1003,
#d7191c,r,0,0,0,0,0,1,1,1,,,,,,,,,,,,,f,1.5683366349,6,0,,,,,2018_Nov_05_0854,59.9382899695,Arrows_VVA_Color,1003,
#fdae61,o,0,0,0,0,0,2,2,2,,,,,,,,,,,,,f,0.484399653506,4,,,,,,2018_Nov_05_0854,59.9382899695,Arrows_VVA_Color,1003,
#2c7bb6,b,0,0,0,0,0,3,3,3,,,,,,,,,,,,,f,0.384329992812,5,1,,,,,2018_Nov_05_0854,59.9382899695,Arrows_VVA_Color,1003,
#2c7bb6,b,0,0,0,0,0,4,4,4,,,,,,,,,,,,,f,0.317045297939,999,,,,,,2018_Nov_05_0854,59.9382899695,Arrows_VVA_Color,1003,
#2c7bb6,b,0,0,0,0,0,5,5,5,,,,,,,,,,,,,f,0.384200675879,3,0,,,,,2018_Nov_05_0854,59.9382899695,Arrows_VVA_Color,1003,
#fdae61,o,0,0,0,0,0,6,6,6,,,,,,,,,,,,,f,0.651214800309,5,,,,,,2018_Nov_05_0854,59.9382899695,Arrows_VVA_Color,1003,
#fdae61,o,0,0,0,0,0,7,7,7,,,,,,,,,,,,,f,0.383852808736,6,0,,,,,2018_Nov_05_0854,59.9382899695,Arrows_VVA_Color,1003,
#d7191c,r,0,0,0,0,0,8,8,8,,,,,,,,,,,,,f,0.217333451379,3,,,,,,2018_Nov_05_0854,59.9382899695,Arrows_VVA_Color,1003,
#2c7bb6,b,0,0,0,0,0,9,9,9,,,,,,,,,,,,,f,0.434407099616,5,1,,,,,2018_Nov_05_0854,59.9382899695,Arrows_VVA_Color,1003,
#fdae61,o,0,0,0,0,0,10,10,10,,,,,,,,,,,,,f,0.0670678988099,6,,,,,,2018_Nov_05_0854,59.9382899695,Arrows_VVA_Color,1003,
#2c7bb6,b,0,0,0,0,0,11,11,11,,,,,,,,,,,,,f,0.334960908163,3,1,,,,,2018_Nov_05_0854,59.9382899695,Arrows_VVA_Color,1003,
#d7191c,r,1,0,1,0,0,0,0,0,,,,,,,,,,,d,2.06920249993,f,0.283355407882,999,,,,,,2018_Nov_05_0854,59.9382899695,Arrows_VVA_Color,1003,
#2c7bb6,b,1,0,1,0,0,1,1,1,,,,,,,,,,,,,f,0.169828632381,5,1,,,,,2018_Nov_05_0854,59.9382899695,Arrows_VVA_Color,1003,
