color,answer,repeat_color_practice.thisRepN,repeat_color_practice.thisTrialN,repeat_color_practice.thisN,repeat_color_practice.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_8.keys,key_resp_8.rt,key_resp_9.keys,key_resp_9.rt,key_resp_6.keys,key_resp_6.rt,key_resp_11.keys,key_resp_11.rt,colorpractice_numVertices,colorpractice_correct,date,frameRate,expName,participant,
,,,,,,,,,,d,8.87645236123,,,,,,,,,,,2018_Nov_05_0913,59.7864774358,Arrows_VVA_Color,1003,
,,,,,,,,,,,,d,0.533644394949,,,,,,,,,2018_Nov_05_0913,59.7864774358,Arrows_VVA_Color,1003,
,,,,,,,,,,,,,,d,0.365349129774,,,,,,,2018_Nov_05_0913,59.7864774358,Arrows_VVA_Color,1003,
#d7191c,r,0,0,0,0,0,0,0,0,,,,,,,d,0.850989871658,f,0.916242072824,999,,2018_Nov_05_0913,59.7864774358,Arrows_VVA_Color,1003,
#2c7bb6,b,0,0,0,0,0,1,1,1,,,,,,,,,f,0.300752288662,5,1,2018_Nov_05_0913,59.7864774358,Arrows_VVA_Color,1003,
#d7191c,r,0,0,0,0,0,2,2,2,,,,,,,,,f,0.450926851481,999,,2018_Nov_05_0913,59.7864774358,Arrows_VVA_Color,1003,
#fdae61,o,0,0,0,0,0,3,3,3,,,,,,,,,f,0.567672498059,6,1,2018_Nov_05_0913,59.7864774358,Arrows_VVA_Color,1003,
#2c7bb6,b,0,0,0,0,0,4,4,4,,,,,,,,,f,0.634293055162,3,,2018_Nov_05_0913,59.7864774358,Arrows_VVA_Color,1003,
#2c7bb6,b,0,0,0,0,0,5,5,5,,,,,,,,,f,0.634054024704,999,0,2018_Nov_05_0913,59.7864774358,Arrows_VVA_Color,1003,
#fdae61,o,0,0,0,0,0,6,6,6,,,,,,,,,f,0.217302731704,6,,2018_Nov_05_0913,59.7864774358,Arrows_VVA_Color,1003,
#d7191c,r,0,0,0,0,0,7,7,7,,,,,,,,,f,0.55122091528,3,1,2018_Nov_05_0913,59.7864774358,Arrows_VVA_Color,1003,
#fdae61,o,1,0,1,0,0,0,0,0,,,,,,,d,2.93663225137,f,1.58567880513,999,,2018_Nov_05_0913,59.7864774358,Arrows_VVA_Color,1003,
#fdae61,o,1,0,1,0,0,1,1,1,,,,,,,,,f,1.85235120635,6,0,2018_Nov_05_0913,59.7864774358,Arrows_VVA_Color,1003,
#d7191c,r,1,0,1,0,0,2,2,2,,,,,,,,,f,1.01807740238,3,,2018_Nov_05_0913,59.7864774358,Arrows_VVA_Color,1003,
#2c7bb6,b,1,0,1,0,0,3,3,3,,,,,,,,,a,3.58644212363,5,0,2018_Nov_05_0913,59.7864774358,Arrows_VVA_Color,1003,
#fdae61,o,1,0,1,0,0,4,4,4,,,,,,,,,f,0.667745962273,3,,2018_Nov_05_0913,59.7864774358,Arrows_VVA_Color,1003,
#2c7bb6,b,1,0,1,0,0,5,5,5,,,,,,,,,a,1.15173338307,6,0,2018_Nov_05_0913,59.7864774358,Arrows_VVA_Color,1003,
#d7191c,r,1,0,1,0,0,6,6,6,,,,,,,,,f,0.784428413492,3,,2018_Nov_05_0913,59.7864774358,Arrows_VVA_Color,1003,
#d7191c,r,1,0,1,0,0,7,7,7,,,,,,,,,f,0.534119531047,6,0,2018_Nov_05_0913,59.7864774358,Arrows_VVA_Color,1003,
#d7191c,r,2,0,2,0,0,0,0,0,,,,,,,d,4.20456592785,f,0.817721283995,3,,2018_Nov_05_0913,59.7864774358,Arrows_VVA_Color,1003,
#d7191c,r,2,0,2,0,0,1,1,1,,,,,,,,,f,0.500579145271,6,0,2018_Nov_05_0913,59.7864774358,Arrows_VVA_Color,1003,
#fdae61,o,2,0,2,0,0,2,2,2,,,,,,,,,f,0.267221265007,999,,2018_Nov_05_0913,59.7864774358,Arrows_VVA_Color,1003,
#2c7bb6,b,2,0,2,0,0,3,3,3,,,,,,,,,a,0.700837544166,4,0,2018_Nov_05_0913,59.7864774358,Arrows_VVA_Color,1003,
#2c7bb6,b,2,0,2,0,0,4,4,4,,,,,,,,,f,0.250701805577,6,,2018_Nov_05_0913,59.7864774358,Arrows_VVA_Color,1003,
#2c7bb6,b,2,0,2,0,0,5,5,5,,,,,,,,,f,0.702299816068,3,0,2018_Nov_05_0913,59.7864774358,Arrows_VVA_Color,1003,
#fdae61,o,2,0,2,0,0,6,6,6,,,,,,,,,f,0.117361216806,6,,2018_Nov_05_0913,59.7864774358,Arrows_VVA_Color,1003,
#fdae61,o,2,0,2,0,0,7,7,7,,,,,,,,,f,0.700729585253,4,0,2018_Nov_05_0913,59.7864774358,Arrows_VVA_Color,1003,
