color,answer,repeat_color_practice.thisRepN,repeat_color_practice.thisTrialN,repeat_color_practice.thisN,repeat_color_practice.thisIndex,repeat_color_practice_mini.thisRepN,repeat_color_practice_mini.thisTrialN,repeat_color_practice_mini.thisN,repeat_color_practice_mini.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_8.keys,key_resp_8.rt,key_resp_9.keys,key_resp_9.rt,key_resp_6.keys,key_resp_6.rt,key_resp_11.keys,key_resp_11.rt,colorpractice_numVertices,colorpractice_correct,date,frameRate,expName,participant,
,,,,,,,,,,,,,,d,2.66902918089,,,,,,,,,,,2018_Nov_05_1023,59.9124442498,Arrows_VVA_Color,1003,
,,,,,,,,,,,,,,,,d,0.283935869578,,,,,,,,,2018_Nov_05_1023,59.9124442498,Arrows_VVA_Color,1003,
,,,,,,,,,,,,,,,,,,d,0.217278447933,,,,,,,2018_Nov_05_1023,59.9124442498,Arrows_VVA_Color,1003,
#d7191c,r,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,d,0.851064184215,f,0.517360455822,999,,2018_Nov_05_1023,59.9124442498,Arrows_VVA_Color,1003,
#d7191c,r,0,0,0,0,0,0,0,0,0,1,1,1,,,,,,,,,f,0.183896928094,4,0,2018_Nov_05_1023,59.9124442498,Arrows_VVA_Color,1003,
#fdae61,o,0,0,0,0,0,0,0,0,0,2,2,2,,,,,,,,,f,0.25106517924,5,,2018_Nov_05_1023,59.9124442498,Arrows_VVA_Color,1003,
#2c7bb6,b,0,0,0,0,0,0,0,0,0,3,3,3,,,,,,,,,f,0.100332975388,3,1,2018_Nov_05_1023,59.9124442498,Arrows_VVA_Color,1003,
#2c7bb6,b,0,0,0,0,0,0,0,0,0,4,4,4,,,,,,,,,f,0.0503726042807,5,,2018_Nov_05_1023,59.9124442498,Arrows_VVA_Color,1003,
#2c7bb6,b,0,0,0,0,0,0,0,0,0,5,5,5,,,,,,,,,f,0.167202218436,3,0,2018_Nov_05_1023,59.9124442498,Arrows_VVA_Color,1003,
#fdae61,o,0,0,0,0,0,0,0,0,0,6,6,6,,,,,,,,,f,0.267571180128,6,,2018_Nov_05_1023,59.9124442498,Arrows_VVA_Color,1003,
#fdae61,o,0,0,0,0,0,0,0,0,0,7,7,7,,,,,,,,,f,0.100697812159,3,0,2018_Nov_05_1023,59.9124442498,Arrows_VVA_Color,1003,
