color,answer,repeat_color_practice.thisRepN,repeat_color_practice.thisTrialN,repeat_color_practice.thisN,repeat_color_practice.thisIndex,repeat_color_practice_mini.thisRepN,repeat_color_practice_mini.thisTrialN,repeat_color_practice_mini.thisN,repeat_color_practice_mini.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_8.keys,key_resp_8.rt,key_resp_9.keys,key_resp_9.rt,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_11.keys,key_resp_11.rt,colorpractice_numVertices,colorpractice_correct,key_resp_2.rt,key_resp_13.keys,key_resp_13.rt,date,frameRate,expName,participant,
,,,,,,,,,,,,,,d,2.51966591878,,,,,,,,,,,,,,,2018_Nov_05_1024,59.9043588317,Arrows_VVA_Color,1003,
,,,,,,,,,,,,,,,,d,0.367080274969,,,,,,,,,,,,,2018_Nov_05_1024,59.9043588317,Arrows_VVA_Color,1003,
,,,,,,,,,,,,,,,,,,d,0.233818972483,,,,,,,,,,,2018_Nov_05_1024,59.9043588317,Arrows_VVA_Color,1003,
#d7191c,r,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,d,0.617797879502,None,f,0.434249696322,3,,,,,2018_Nov_05_1024,59.9043588317,Arrows_VVA_Color,1003,
#fdae61,o,0,0,0,0,0,0,0,0,0,1,1,1,,,,,,,,,,f,0.250281088054,999,1,,,,2018_Nov_05_1024,59.9043588317,Arrows_VVA_Color,1003,
#2c7bb6,b,0,0,0,0,0,0,0,0,0,2,2,2,,,,,,,,,,f,0.233833308332,6,,,,,2018_Nov_05_1024,59.9043588317,Arrows_VVA_Color,1003,
#fdae61,o,0,0,0,0,0,0,0,0,0,3,3,3,,,,,,,,,,f,0.133355509955,5,1,,,,2018_Nov_05_1024,59.9043588317,Arrows_VVA_Color,1003,
#d7191c,r,0,0,0,0,0,0,0,0,0,4,4,4,,,,,,,,,,f,0.000336749944836,6,,,,,2018_Nov_05_1024,59.9043588317,Arrows_VVA_Color,1003,
#d7191c,r,0,0,0,0,0,0,0,0,0,5,5,5,,,,,,,,,,f,0.133682312444,999,0,,,,2018_Nov_05_1024,59.9043588317,Arrows_VVA_Color,1003,
#2c7bb6,b,0,0,0,0,0,0,0,0,0,6,6,6,,,,,,,,,,f,0.250568686053,5,,,,,2018_Nov_05_1024,59.9043588317,Arrows_VVA_Color,1003,
#2c7bb6,b,0,0,0,0,0,0,0,0,0,7,7,7,,,,,,,,,,f,0.100219165441,4,0,,,,2018_Nov_05_1024,59.9043588317,Arrows_VVA_Color,1003,
#fdae61,o,0,0,0,0,1,0,1,0,0,0,0,0,,,,,,,,,d,f,0.466885744128,3,,1.85216454556,,,2018_Nov_05_1024,59.9043588317,Arrows_VVA_Color,1003,
#2c7bb6,b,0,0,0,0,1,0,1,0,0,1,1,1,,,,,,,,,,f,0.100177620072,999,1,,,,2018_Nov_05_1024,59.9043588317,Arrows_VVA_Color,1003,
#d7191c,o,0,0,0,0,1,0,1,0,0,2,2,2,,,,,,,,,,f,0.183794528246,3,,,,,2018_Nov_05_1024,59.9043588317,Arrows_VVA_Color,1003,
#d7191c,o,0,0,0,0,1,0,1,0,0,3,3,3,,,,,,,,,,f,0.100651585963,6,0,,,,2018_Nov_05_1024,59.9043588317,Arrows_VVA_Color,1003,
#fdae61,r,0,0,0,0,1,0,1,0,0,4,4,4,,,,,,,,,,f,0.33404750051,3,,,,,2018_Nov_05_1024,59.9043588317,Arrows_VVA_Color,1003,
#2c7bb6,b,0,0,0,0,1,0,1,0,0,5,5,5,,,,,,,,,,f,0.133935094345,5,1,,,,2018_Nov_05_1024,59.9043588317,Arrows_VVA_Color,1003,
#2c7bb6,b,0,0,0,0,1,0,1,0,0,6,6,6,,,,,,,,,,f,0.28381240461,3,,,,,2018_Nov_05_1024,59.9043588317,Arrows_VVA_Color,1003,
#fdae61,r,0,0,0,0,1,0,1,0,0,7,7,7,,,,,,,,,,f,0.15068246657,5,1,,,,2018_Nov_05_1024,59.9043588317,Arrows_VVA_Color,1003,
#2c7bb6,b,0,0,0,0,2,0,2,0,0,0,0,0,,,,,,,,,d,f,0.434021490626,3,,1.25151222805,,,2018_Nov_05_1024,59.9043588317,Arrows_VVA_Color,1003,
#2c7bb6,b,0,0,0,0,2,0,2,0,0,1,1,1,,,,,,,,,,f,0.117113993969,4,0,,,,2018_Nov_05_1024,59.9043588317,Arrows_VVA_Color,1003,
#d7191c,r,0,0,0,0,2,0,2,0,0,2,2,2,,,,,,,,,,f,0.066750459373,3,,,,,2018_Nov_05_1024,59.9043588317,Arrows_VVA_Color,1003,
#fdae61,o,0,0,0,0,2,0,2,0,0,3,3,3,,,,,,,,,,f,0.550776791759,4,1,,,,2018_Nov_05_1024,59.9043588317,Arrows_VVA_Color,1003,
#d7191c,r,0,0,0,0,2,0,2,0,0,4,4,4,,,,,,,,,,f,0.233855251223,6,,,,,2018_Nov_05_1024,59.9043588317,Arrows_VVA_Color,1003,
#d7191c,r,0,0,0,0,2,0,2,0,0,5,5,5,,,,,,,,,,f,0.100335608702,3,0,,,,2018_Nov_05_1024,59.9043588317,Arrows_VVA_Color,1003,
#fdae61,o,0,0,0,0,2,0,2,0,0,6,6,6,,,,,,,,,,f,0.284001698252,5,,,,,2018_Nov_05_1024,59.9043588317,Arrows_VVA_Color,1003,
#fdae61,o,0,0,0,0,2,0,2,0,0,7,7,7,,,,,,,,,,f,0.0834551160224,999,0,,,,2018_Nov_05_1024,59.9043588317,Arrows_VVA_Color,1003,
#fdae61,o,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,d,3.08674508194,None,f,0.567515386734,3,,,,,2018_Nov_05_1024,59.9043588317,Arrows_VVA_Color,1003,
#fdae61,o,1,0,1,0,0,0,0,0,0,1,1,1,,,,,,,,,,f,0.0839100647718,999,0,,,,2018_Nov_05_1024,59.9043588317,Arrows_VVA_Color,1003,
#d7191c,r,1,0,1,0,0,0,0,0,0,2,2,2,,,,,,,,,,f,0.239266945049,6,,,,,2018_Nov_05_1024,59.9043588317,Arrows_VVA_Color,1003,
#2c7bb6,b,1,0,1,0,0,0,0,0,0,3,3,3,,,,,,,,,,f,0.100105940364,999,1,,,,2018_Nov_05_1024,59.9043588317,Arrows_VVA_Color,1003,
#fdae61,o,1,0,1,0,0,0,0,0,0,4,4,4,,,,,,,,,,f,0.233854958788,3,,,,,2018_Nov_05_1024,59.9043588317,Arrows_VVA_Color,1003,
#2c7bb6,b,1,0,1,0,0,0,0,0,0,5,5,5,,,,,,,,,,f,0.384283473715,6,1,,,,2018_Nov_05_1024,59.9043588317,Arrows_VVA_Color,1003,
#d7191c,r,1,0,1,0,0,0,0,0,0,6,6,6,,,,,,,,,,f,0.285277309362,3,,,,,2018_Nov_05_1024,59.9043588317,Arrows_VVA_Color,1003,
#d7191c,r,1,0,1,0,0,0,0,0,0,7,7,7,,,,,,,,,,f,0.133885064628,5,0,,,,2018_Nov_05_1024,59.9043588317,Arrows_VVA_Color,1003,
#d7191c,r,1,0,1,0,1,0,1,0,0,0,0,0,,,,,,,,,d,f,0.384116708301,3,,0.55042248778,,,2018_Nov_05_1024,59.9043588317,Arrows_VVA_Color,1003,
#2c7bb6,b,1,0,1,0,1,0,1,0,0,1,1,1,,,,,,,,,,f,0.117182747927,4,1,,,,2018_Nov_05_1024,59.9043588317,Arrows_VVA_Color,1003,
#d7191c,r,1,0,1,0,1,0,1,0,0,2,2,2,,,,,,,,,,f,0.378187455703,999,,,,,2018_Nov_05_1024,59.9043588317,Arrows_VVA_Color,1003,
#fdae61,o,1,0,1,0,1,0,1,0,0,3,3,3,,,,,,,,,,f,0.100236719474,6,1,,,,2018_Nov_05_1024,59.9043588317,Arrows_VVA_Color,1003,
#2c7bb6,b,1,0,1,0,1,0,1,0,0,4,4,4,,,,,,,,,,f,0.186704150867,999,,,,,2018_Nov_05_1024,59.9043588317,Arrows_VVA_Color,1003,
#2c7bb6,b,1,0,1,0,1,0,1,0,0,5,5,5,,,,,,,,,,f,0.117161682807,4,0,,,,2018_Nov_05_1024,59.9043588317,Arrows_VVA_Color,1003,
#fdae61,o,1,0,1,0,1,0,1,0,0,6,6,6,,,,,,,,,,f,0.249273472,999,,,,,2018_Nov_05_1024,59.9043588317,Arrows_VVA_Color,1003,
#d7191c,r,1,0,1,0,1,0,1,0,0,7,7,7,,,,,,,,,,f,0.100422502495,3,1,,,,2018_Nov_05_1024,59.9043588317,Arrows_VVA_Color,1003,
#d7191c,r,1,0,1,0,2,0,2,0,0,0,0,0,,,,,,,,,d,f,0.48419514671,5,,0.767718490213,,,2018_Nov_05_1024,59.9043588317,Arrows_VVA_Color,1003,
#d7191c,r,1,0,1,0,2,0,2,0,0,1,1,1,,,,,,,,,,f,0.100393830333,999,0,,,,2018_Nov_05_1024,59.9043588317,Arrows_VVA_Color,1003,
#fdae61,o,1,0,1,0,2,0,2,0,0,2,2,2,,,,,,,,,,f,0.183951346669,4,,,,,2018_Nov_05_1024,59.9043588317,Arrows_VVA_Color,1003,
#2c7bb6,b,1,0,1,0,2,0,2,0,0,3,3,3,,,,,,,,,,f,0.100559133571,6,1,,,,2018_Nov_05_1024,59.9043588317,Arrows_VVA_Color,1003,
#2c7bb6,b,1,0,1,0,2,0,2,0,0,4,4,4,,,,,,,,,,f,1.73578636907,5,,,,,2018_Nov_05_1024,59.9043588317,Arrows_VVA_Color,1003,
#2c7bb6,b,1,0,1,0,2,0,2,0,0,5,5,5,,,,,,,,,,f,0.0672569000162,6,0,,,,2018_Nov_05_1024,59.9043588317,Arrows_VVA_Color,1003,
#fdae61,o,1,0,1,0,2,0,2,0,0,6,6,6,,,,,,,,,,f,0.584165040869,4,,,,,2018_Nov_05_1024,59.9043588317,Arrows_VVA_Color,1003,
#fdae61,o,1,0,1,0,2,0,2,0,0,7,7,7,,,,,,,,,,f,0.200421068817,6,0,,,,2018_Nov_05_1024,59.9043588317,Arrows_VVA_Color,1003,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,1.98564439872,2018_Nov_05_1024,59.9043588317,Arrows_VVA_Color,1003,
