color,answer,repeat_color_practice.thisRepN,repeat_color_practice.thisTrialN,repeat_color_practice.thisN,repeat_color_practice.thisIndex,repeat_color_practice_mini.thisRepN,repeat_color_practice_mini.thisTrialN,repeat_color_practice_mini.thisN,repeat_color_practice_mini.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_8.keys,key_resp_8.rt,key_resp_9.keys,key_resp_9.rt,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_11.keys,key_resp_11.rt,colorpractice_numVertices,colorpractice_correct,key_resp_2.rt,key_resp_13.keys,key_resp_13.rt,color_response.keys,color_response.rt,date,frameRate,expName,participant,
,,,,,,,,,,,,,,,,,,d,165.981056139,,,,,,,,,,,,,,,,,2018_Dec_19_1152,60.082444762,Arrows_VVA_Color,1004,
,,,,,,,,,,,,,,,,,,,,d,13.4113841665,,,,,,,,,,,,,,,2018_Dec_19_1152,60.082444762,Arrows_VVA_Color,1004,
,,,,,,,,,,,,,,,,,,,,,,d,31.6686810026,,,,,,,,,,,,,2018_Dec_19_1152,60.082444762,Arrows_VVA_Color,1004,
#d7191c,r,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,d,32.4011585332,None,f,11.3782087582,3,,,,,,,2018_Dec_19_1152,60.082444762,Arrows_VVA_Color,1004,
#d7191c,r,0,0,0,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,f,6.414432445,999,0,,,,,,2018_Dec_19_1152,60.082444762,Arrows_VVA_Color,1004,
#fdae61,o,0,0,0,0,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,f,5.43084656106,5,,,,,,,2018_Dec_19_1152,60.082444762,Arrows_VVA_Color,1004,
#2c7bb6,b,0,0,0,0,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,a,2.54912342471,999,0,,,,,,2018_Dec_19_1152,60.082444762,Arrows_VVA_Color,1004,
#2c7bb6,b,0,0,0,0,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,f,1.63304189274,4,,,,,,,2018_Dec_19_1152,60.082444762,Arrows_VVA_Color,1004,
#2c7bb6,b,0,0,0,0,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,f,2.04967564907,6,0,,,,,,2018_Dec_19_1152,60.082444762,Arrows_VVA_Color,1004,
#fdae61,o,0,0,0,0,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,f,1.54965132889,5,,,,,,,2018_Dec_19_1152,60.082444762,Arrows_VVA_Color,1004,
#fdae61,o,0,0,0,0,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,f,1.6998911616,3,0,,,,,,2018_Dec_19_1152,60.082444762,Arrows_VVA_Color,1004,
#d7191c,r,0,0,0,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,d,f,3.78308493278,999,,11.7943025618,,,,,2018_Dec_19_1152,60.082444762,Arrows_VVA_Color,1004,
#2c7bb6,b,0,0,0,0,1,0,1,0,0,1,1,1,,,,,,,,,,,,,,a,1.71676624555,4,0,,,,,,2018_Dec_19_1152,60.082444762,Arrows_VVA_Color,1004,
#d7191c,r,0,0,0,0,1,0,1,0,0,2,2,2,,,,,,,,,,,,,,f,2.56656077346,999,,,,,,,2018_Dec_19_1152,60.082444762,Arrows_VVA_Color,1004,
#fdae61,o,0,0,0,0,1,0,1,0,0,3,3,3,,,,,,,,,,,,,,a,1.68357878869,4,0,,,,,,2018_Dec_19_1152,60.082444762,Arrows_VVA_Color,1004,
#2c7bb6,b,0,0,0,0,1,0,1,0,0,4,4,4,,,,,,,,,,,,,,f,1.48339779298,5,,,,,,,2018_Dec_19_1152,60.082444762,Arrows_VVA_Color,1004,
#2c7bb6,b,0,0,0,0,1,0,1,0,0,5,5,5,,,,,,,,,,,,,,f,1.73312859755,6,0,,,,,,2018_Dec_19_1152,60.082444762,Arrows_VVA_Color,1004,
#fdae61,o,0,0,0,0,1,0,1,0,0,6,6,6,,,,,,,,,,,,,,f,2.19962765575,999,,,,,,,2018_Dec_19_1152,60.082444762,Arrows_VVA_Color,1004,
