0.6525 	INFO 	Loaded SoundDevice with PortAudio V19.6.0-devel, revision 396fe4b6699ae929d3a685b3ef8a7e97396139a4
0.6527 	INFO 	sound is using audioLib: sounddevice
1.5723 	WARNING 	Monitor specification not found. Creating a temporary one...
7.3022 	INFO 	Loaded monitor calibration from ['2018_11_02 16:01']
7.3058 	WARNING 	User requested fullscreen with size [1536  864], but screen is actually [3840, 2160]. Using actual size
10.5578 	WARNING 	Couldn't measure a consistent frame rate.
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

10.5582 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.4,  0.4,  0.4]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x1EF6D1F0>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([3840, 2160]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType=u'pyglet')
10.5582 	EXP 	window1: recordFrameIntervals = False
10.7690 	EXP 	window1: recordFrameIntervals = True
10.8281 	WARNING 	t of last frame was 20.10ms (=1/49)
10.8523 	WARNING 	t of last frame was 24.24ms (=1/41)
10.8913 	WARNING 	t of last frame was 20.06ms (=1/49)
10.9114 	WARNING 	t of last frame was 20.14ms (=1/49)
10.9357 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
12.8615 	WARNING 	Couldn't measure a consistent frame rate.
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

13.0393 	EXP 	Created text_4 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_4', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=newstr(...), units=u'norm', win=Window(...), wrapWidth=1.5)
13.0599 	EXP 	Created polygon_2 = Polygon(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=0.0, fillColor='#d7191c', fillColorSpace='hex', fillRGB=array([215,  25,  28]), interpolate=True, lineColor=array([ 1.,  1.,  1.]), lineColorSpace='rgb', lineRGB=array([ 1.,  1.,  1.]), lineWidth=1, name='polygon_2', opacity=1.0, ori=array(0.0), pos=array([-0.3, -0.2]), size=array([ 0.5,  0.5]), units='height', vertices=ndarray(...), win=Window(...))
13.0611 	EXP 	Created polygon_3 = ShapeStim(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=-1.0, fillColor='#d7191c', fillColorSpace='hex', interpolate=True, lineColor=array([ 1.,  1.,  1.]), lineColorSpace='rgb', lineWidth=1, name='polygon_3', opacity=1.0, ori=array(0.0), pos=array([ 0.3, -0.2]), size=array([ 1.,  1.]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
