Direction,Random_within_format,Background,Format,Stimulus_Practice,Number,Random_format_order,Stimulus,direction,number,format,repeat_spatial_practice.thisRepN,repeat_spatial_practice.thisTrialN,repeat_spatial_practice.thisN,repeat_spatial_practice.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_6.keys,key_resp_6.rt,key_resp_11.keys,key_resp_11.rt,key_resp_13.keys,key_resp_13.rt,color_response.keys,color_response.rt,date,frameRate,expName,participant,Scr or Whi,
,,,,,,,,,,,,,,,,,,,,,,,space,0.767911247793,,,,,,,,,2018_May_08_1329,59.9839596433,Arrows_VVA_Direction,1234,Whi,
ahead,0.118751139891,_WHI,schema,ahead_schema_2_WHI.jpg,2,0.361061419631,,,,,0,0,0,0,0,0,0,0,,,,,,,space,0.586471068789,f,0.48507035186,,,,,2018_May_08_1329,59.9839596433,Arrows_VVA_Direction,1234,Whi,
right,0.185081655401,_WHI,schema,right_schema_1_WHI.jpg,1,0.361061419631,,,,,0,0,0,0,0,1,1,1,,,,,,,,,j,0.286673001829,,,,,2018_May_08_1329,59.9839596433,Arrows_VVA_Direction,1234,Whi,
right,0.252740420756,_WHI,schema,right_schema_3_WHI.jpg,3,0.361061419631,,,,,0,0,0,0,0,2,2,2,,,,,,,,,f,0.0508568843943,,,,,2018_May_08_1329,59.9839596433,Arrows_VVA_Direction,1234,Whi,
ahead,0.58152538774,_WHI,schema,ahead_schema_3_WHI.jpg,3,0.361061419631,,,,,0,0,0,0,0,3,3,3,,,,,,,,,j,0.0544789237319,,,,,2018_May_08_1329,59.9839596433,Arrows_VVA_Direction,1234,Whi,
ahead,0.622295027222,_WHI,schema,ahead_schema_1_WHI.jpg,1,0.361061419631,,,,,0,0,0,0,0,4,4,4,,,,,,,,,f,0.017072444316,,,,,2018_May_08_1329,59.9839596433,Arrows_VVA_Direction,1234,Whi,
left,0.631451387086,_WHI,schema,left_schema_3_WHI.jpg,3,0.361061419631,,,,,0,0,0,0,0,5,5,5,,,,,,,,,j,0.051007266331,,,,,2018_May_08_1329,59.9839596433,Arrows_VVA_Direction,1234,Whi,
left,0.727062377481,_WHI,schema,left_schema_1_WHI.jpg,1,0.361061419631,,,,,0,0,0,0,0,6,6,6,,,,,,,,,f,0.034276253311,,,,,2018_May_08_1329,59.9839596433,Arrows_VVA_Direction,1234,Whi,
right,0.82194175512,_WHI,schema,right_schema_2_WHI.jpg,2,0.361061419631,,,,,0,0,0,0,0,7,7,7,,,,,,,,,j,0.0505660679773,,,,,2018_May_08_1329,59.9839596433,Arrows_VVA_Direction,1234,Whi,
left,0.897452651833,_WHI,schema,left_schema_2_WHI.jpg,2,0.361061419631,,,,,0,0,0,0,0,8,8,8,,,,,,,,,f,0.0509721576818,,,,,2018_May_08_1329,59.9839596433,Arrows_VVA_Direction,1234,Whi,
ahead,0.0263609018167,_WHI,image,ahead_image_1_WHI.jpg,1,0.46033210411,,,,,0,0,0,0,0,9,9,9,,,,,,,,,j,0.0340503878542,,,,,2018_May_08_1329,59.9839596433,Arrows_VVA_Direction,1234,Whi,
ahead,0.0371659913111,_WHI,image,ahead_image_2_WHI.jpg,2,0.46033210411,,,,,0,0,0,0,0,10,10,10,,,,,,,,,f,0.0172163896495,,,,,2018_May_08_1329,59.9839596433,Arrows_VVA_Direction,1234,Whi,
left,0.197895092928,_WHI,image,left_image_3_WHI.jpg,3,0.46033210411,,,,,0,0,0,0,0,11,11,11,,,,,,,,,j,0.0679120669374,,,,,2018_May_08_1329,59.9839596433,Arrows_VVA_Direction,1234,Whi,
left,0.595789165394,_WHI,image,left_image_1_WHI.jpg,1,0.46033210411,,,,,0,0,0,0,0,12,12,12,,,,,,,,,j,0.0679108966724,,,,,2018_May_08_1329,59.9839596433,Arrows_VVA_Direction,1234,Whi,
right,0.746993454447,_WHI,image,right_image_3_WHI.jpg,3,0.46033210411,,,,,0,0,0,0,0,13,13,13,,,,,,,,,j,0.0848467099131,,,,,2018_May_08_1329,59.9839596433,Arrows_VVA_Direction,1234,Whi,
right,0.755076891479,_WHI,image,right_image_1_WHI.jpg,1,0.46033210411,,,,,0,0,0,0,0,14,14,14,,,,,,,,,j,0.0841094288626,,,,,2018_May_08_1329,59.9839596433,Arrows_VVA_Direction,1234,Whi,
ahead,0.764293170365,_WHI,image,ahead_image_3_WHI.jpg,3,0.46033210411,,,,,0,0,0,0,0,15,15,15,,,,,,,,,j,0.100635641604,,,,,2018_May_08_1329,59.9839596433,Arrows_VVA_Direction,1234,Whi,
right,0.857745928729,_WHI,image,right_image_2_WHI.jpg,2,0.46033210411,,,,,0,0,0,0,0,16,16,16,,,,,,,,,j,0.100705566234,,,,,2018_May_08_1329,59.9839596433,Arrows_VVA_Direction,1234,Whi,
left,0.972897053454,_WHI,image,left_image_2_WHI.jpg,2,0.46033210411,,,,,0,0,0,0,0,17,17,17,,,,,,,,,f,0.0169650704484,,,,,2018_May_08_1329,59.9839596433,Arrows_VVA_Direction,1234,Whi,
left,0.0259202015148,_WHI,word,left_word_1_WHI.jpg,1,0.57093148646,,,,,0,0,0,0,0,18,18,18,,,,,,,,,j,0.0511438973481,,,,,2018_May_08_1329,59.9839596433,Arrows_VVA_Direction,1234,Whi,
right,0.107386856858,_WHI,word,right_word_3_WHI.jpg,3,0.57093148646,,,,,0,0,0,0,0,19,19,19,,,,,,,,,f,0.0506023468915,,,,,2018_May_08_1329,59.9839596433,Arrows_VVA_Direction,1234,Whi,
left,0.175133057318,_WHI,word,left_word_3_WHI.jpg,3,0.57093148646,,,,,0,0,0,0,0,20,20,20,,,,,,,,,j,0.06863120856,,,,,2018_May_08_1329,59.9839596433,Arrows_VVA_Direction,1234,Whi,
right,0.197478028793,_WHI,word,right_word_2_WHI.jpg,2,0.57093148646,,,,,0,0,0,0,0,21,21,21,,,,,,,,,f,0.0349295662018,,,,,2018_May_08_1329,59.9839596433,Arrows_VVA_Direction,1234,Whi,
ahead,0.200219922004,_WHI,word,ahead_word_3_WHI.jpg,3,0.57093148646,,,,,0,0,0,0,0,22,22,22,,,,,,,,,j,0.0529724713415,,,,,2018_May_08_1329,59.9839596433,Arrows_VVA_Direction,1234,Whi,
left,0.204464574437,_WHI,word,left_word_2_WHI.jpg,2,0.57093148646,,,,,0,0,0,0,0,23,23,23,,,,,,,,,f,0.033687306277,,,,,2018_May_08_1329,59.9839596433,Arrows_VVA_Direction,1234,Whi,
right,0.211692973185,_WHI,word,right_word_1_WHI.jpg,1,0.57093148646,,,,,0,0,0,0,0,24,24,24,,,,,,,,,j,0.0510125326109,,,,,2018_May_08_1329,59.9839596433,Arrows_VVA_Direction,1234,Whi,
ahead,0.308864696465,_WHI,word,ahead_word_2_WHI.jpg,2,0.57093148646,,,,,0,0,0,0,0,25,25,25,,,,,,,,,f,0.0503931580461,,,,,2018_May_08_1329,59.9839596433,Arrows_VVA_Direction,1234,Whi,
ahead,0.762362706624,_WHI,word,ahead_word_1_WHI.jpg,1,0.57093148646,,,,,0,0,0,0,0,26,26,26,,,,,,,,,j,0.0686013661907,,,,,2018_May_08_1329,59.9839596433,Arrows_VVA_Direction,1234,Whi,
ahead,0.118751139891,_WHI,schema,ahead_schema_2_WHI.jpg,2,0.361061419631,,,,,1,0,1,0,0,0,0,0,,,,,,,space,0.684192109678,f,0.301532140176,,,,,2018_May_08_1329,59.9839596433,Arrows_VVA_Direction,1234,Whi,
right,0.185081655401,_WHI,schema,right_schema_1_WHI.jpg,1,0.361061419631,,,,,1,0,1,0,0,1,1,1,,,,,,,,,j,0.0346314355265,,,,,2018_May_08_1329,59.9839596433,Arrows_VVA_Direction,1234,Whi,
right,0.252740420756,_WHI,schema,right_schema_3_WHI.jpg,3,0.361061419631,,,,,1,0,1,0,0,2,2,2,,,,,,,,,f,0.0512512712157,,,,,2018_May_08_1329,59.9839596433,Arrows_VVA_Direction,1234,Whi,
ahead,0.58152538774,_WHI,schema,ahead_schema_3_WHI.jpg,3,0.361061419631,,,,,1,0,1,0,0,3,3,3,,,,,,,,,j,0.0334710956668,,,,,2018_May_08_1329,59.9839596433,Arrows_VVA_Direction,1234,Whi,
ahead,0.622295027222,_WHI,schema,ahead_schema_1_WHI.jpg,1,0.361061419631,,,,,1,0,1,0,0,4,4,4,,,,,,,,,f,0.0337405543542,,,,,2018_May_08_1329,59.9839596433,Arrows_VVA_Direction,1234,Whi,
left,0.631451387086,_WHI,schema,left_schema_3_WHI.jpg,3,0.361061419631,,,,,1,0,1,0,0,5,5,5,,,,,,,,,j,0.0673289712868,,,,,2018_May_08_1329,59.9839596433,Arrows_VVA_Direction,1234,Whi,
