Stimulus_Practice,Direction,Number,Background,Format,repeat_spatial_practice.thisRepN,repeat_spatial_practice.thisTrialN,repeat_spatial_practice.thisN,repeat_spatial_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_6.keys,key_resp_6.rt,key_resp_11.keys,key_resp_11.rt,key_resp_2.keys,key_resp_2.rt,key_resp_12.keys,key_resp_12.rt,date,frameRate,expName,participant,Scr or Whi,
,,,,,,,,,,,,,,,,,d,0.40415594494,,,,,,,,,2018_Aug_07_1007,None,Arrows_VVA_Direction,1001,Whi,
right_schema_3_WHI.jpg,right,3,_WHI,schema,0,0,0,0,0,0,0,2,,,,,,,s,0.19062443031,f,0.19642643095,,,,,2018_Aug_07_1007,None,Arrows_VVA_Direction,1001,Whi,
ahead_schema_3_WHI.jpg,ahead,3,_WHI,schema,0,0,0,0,0,1,1,3,,,,,,,,,a,0.531740838196,,,,,2018_Aug_07_1007,None,Arrows_VVA_Direction,1001,Whi,
left_schema_1_WHI.jpg,left,1,_WHI,schema,0,0,0,0,0,2,2,6,,,,,,,,,f,0.288023978006,,,,,2018_Aug_07_1007,None,Arrows_VVA_Direction,1001,Whi,
left_schema_2_WHI.jpg,left,2,_WHI,schema,0,0,0,0,0,3,3,8,,,,,,,,,a,0.190195427975,,,,,2018_Aug_07_1007,None,Arrows_VVA_Direction,1001,Whi,
right_schema_1_WHI.jpg,right,1,_WHI,schema,0,0,0,0,0,4,4,1,,,,,,,,,f,0.156997213373,,,,,2018_Aug_07_1007,None,Arrows_VVA_Direction,1001,Whi,
right_schema_2_WHI.jpg,right,2,_WHI,schema,0,0,0,0,0,5,5,7,,,,,,,,,a,0.193250992103,,,,,2018_Aug_07_1007,None,Arrows_VVA_Direction,1001,Whi,
left_schema_3_WHI.jpg,left,3,_WHI,schema,0,0,0,0,0,6,6,5,,,,,,,,,f,0.25042243395,,,,,2018_Aug_07_1007,None,Arrows_VVA_Direction,1001,Whi,
ahead_schema_2_WHI.jpg,ahead,2,_WHI,schema,0,0,0,0,0,7,7,0,,,,,,,,,a,0.337751305196,,,,,2018_Aug_07_1007,None,Arrows_VVA_Direction,1001,Whi,
ahead_schema_1_WHI.jpg,ahead,1,_WHI,schema,0,0,0,0,0,8,8,4,,,,,,,,,None,,,,,,2018_Aug_07_1007,None,Arrows_VVA_Direction,1001,Whi,
left_word_2_WHI.jpg,left,2,_WHI,word,0,0,0,0,,,,,0,0,0,5,,,,,,,d,1.50001847371,f,0.400422187522,2018_Aug_07_1007,None,Arrows_VVA_Direction,1001,Whi,
right_word_1_WHI.jpg,right,1,_WHI,word,0,0,0,0,,,,,0,1,1,6,,,,,,,,,a,0.23946337332,2018_Aug_07_1007,None,Arrows_VVA_Direction,1001,Whi,
right_word_2_WHI.jpg,right,2,_WHI,word,0,0,0,0,,,,,0,2,2,3,,,,,,,,,f,0.187980626244,2018_Aug_07_1007,None,Arrows_VVA_Direction,1001,Whi,
left_word_3_WHI.jpg,left,3,_WHI,word,0,0,0,0,,,,,0,3,3,2,,,,,,,,,a,0.172887953464,2018_Aug_07_1007,None,Arrows_VVA_Direction,1001,Whi,
ahead_word_2_WHI.jpg,ahead,2,_WHI,word,0,0,0,0,,,,,0,4,4,7,,,,,,,,,f,0.307125462452,2018_Aug_07_1007,None,Arrows_VVA_Direction,1001,Whi,
ahead_word_1_WHI.jpg,ahead,1,_WHI,word,0,0,0,0,,,,,0,5,5,8,,,,,,,,,f,0.456218358595,2018_Aug_07_1007,None,Arrows_VVA_Direction,1001,Whi,
ahead_word_3_WHI.jpg,ahead,3,_WHI,word,0,0,0,0,,,,,0,6,6,4,,,,,,,,,a,0.370942951413,2018_Aug_07_1007,None,Arrows_VVA_Direction,1001,Whi,
right_word_3_WHI.jpg,right,3,_WHI,word,0,0,0,0,,,,,0,7,7,1,,,,,,,,,f,0.290371380514,2018_Aug_07_1007,None,Arrows_VVA_Direction,1001,Whi,
left_word_1_WHI.jpg,left,1,_WHI,word,0,0,0,0,,,,,0,8,8,0,,,,,,,,,f,0.817690826021,2018_Aug_07_1007,None,Arrows_VVA_Direction,1001,Whi,
