Stimulus_Practice,Direction,Number,Background,Format,repeat_spatial_practice.thisRepN,repeat_spatial_practice.thisTrialN,repeat_spatial_practice.thisN,repeat_spatial_practice.thisIndex,repeat_spatial_practice.thisTrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_6.keys,key_resp_6.rt,key_resp_11.keys,key_resp_11.rt,key_resp_2.keys,key_resp_2.rt,key_resp_12.keys,key_resp_12.rt,date,frameRate,expName,participant,Scr or Whi,
,,,,,,,,,,,,,,,,,,d,0.232643464376,,,,,,,,,2018_Aug_09_1052,60.2804804239,Arrows_VVA_Direction,1002,Whi,
left_schema_2_WHI.jpg,left,2,_WHI,schema,0,0,0,0,None,0,0,0,8,,,,,,,s,0.283963503092,f,0.385362146619,,,,,2018_Aug_09_1052,60.2804804239,Arrows_VVA_Direction,1002,Whi,
ahead_schema_2_WHI.jpg,ahead,2,_WHI,schema,0,0,0,0,None,0,1,1,0,,,,,,,,,a,0.234741228859,,,,,2018_Aug_09_1052,60.2804804239,Arrows_VVA_Direction,1002,Whi,
right_schema_3_WHI.jpg,right,3,_WHI,schema,0,0,0,0,None,0,2,2,2,,,,,,,,,f,0.351349445795,,,,,2018_Aug_09_1052,60.2804804239,Arrows_VVA_Direction,1002,Whi,
right_schema_1_WHI.jpg,right,1,_WHI,schema,0,0,0,0,None,0,3,3,1,,,,,,,,,a,0.301600164572,,,,,2018_Aug_09_1052,60.2804804239,Arrows_VVA_Direction,1002,Whi,
ahead_schema_3_WHI.jpg,ahead,3,_WHI,schema,0,0,0,0,None,0,4,4,3,,,,,,,,,f,0.184415854476,,,,,2018_Aug_09_1052,60.2804804239,Arrows_VVA_Direction,1002,Whi,
right_schema_2_WHI.jpg,right,2,_WHI,schema,0,0,0,0,None,0,5,5,7,,,,,,,,,a,0.250714761595,,,,,2018_Aug_09_1052,60.2804804239,Arrows_VVA_Direction,1002,Whi,
left_schema_1_WHI.jpg,left,1,_WHI,schema,0,0,0,0,None,0,6,6,6,,,,,,,,,f,0.251230166397,,,,,2018_Aug_09_1052,60.2804804239,Arrows_VVA_Direction,1002,Whi,
left_schema_3_WHI.jpg,left,3,_WHI,schema,0,0,0,0,None,0,7,7,5,,,,,,,,,a,0.451212584623,,,,,2018_Aug_09_1052,60.2804804239,Arrows_VVA_Direction,1002,Whi,
right_image_2_WHI.jpg,right,2,_WHI,image,0,0,0,0,None,,,,,0,0,0,7,,,,,,,d,1.23329809541,f,0.684239367378,2018_Aug_09_1052,60.2804804239,Arrows_VVA_Direction,1002,Whi,
left_image_3_WHI.jpg,left,3,_WHI,image,0,0,0,0,None,,,,,0,1,1,2,,,,,,,,,a,0.11791658653,2018_Aug_09_1052,60.2804804239,Arrows_VVA_Direction,1002,Whi,
right_image_3_WHI.jpg,right,3,_WHI,image,0,0,0,0,None,,,,,0,2,2,4,,,,,,,,,f,0.100173720424,2018_Aug_09_1052,60.2804804239,Arrows_VVA_Direction,1002,Whi,
left_image_1_WHI.jpg,left,1,_WHI,image,0,0,0,0,None,,,,,0,3,3,3,,,,,,,,,a,0.134130195269,2018_Aug_09_1052,60.2804804239,Arrows_VVA_Direction,1002,Whi,
left_image_2_WHI.jpg,left,2,_WHI,image,0,0,0,0,None,,,,,0,4,4,8,,,,,,,,,f,0.150761036468,2018_Aug_09_1052,60.2804804239,Arrows_VVA_Direction,1002,Whi,
ahead_image_2_WHI.jpg,ahead,2,_WHI,image,0,0,0,0,None,,,,,0,5,5,1,,,,,,,,,a,0.117442235616,2018_Aug_09_1052,60.2804804239,Arrows_VVA_Direction,1002,Whi,
right_image_1_WHI.jpg,right,1,_WHI,image,0,0,0,0,None,,,,,0,6,6,5,,,,,,,,,f,0.150339787867,2018_Aug_09_1052,60.2804804239,Arrows_VVA_Direction,1002,Whi,
ahead_image_3_WHI.jpg,ahead,3,_WHI,image,0,0,0,0,None,,,,,0,7,7,6,,,,,,,,,a,0.283898798594,2018_Aug_09_1052,60.2804804239,Arrows_VVA_Direction,1002,Whi,
