Stimulus_Practice,Direction,Number,Background,Format,repeat_spatial_practice.thisRepN,repeat_spatial_practice.thisTrialN,repeat_spatial_practice.thisN,repeat_spatial_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_6.keys,key_resp_6.rt,key_resp_11.keys,key_resp_11.rt,key_resp_2.keys,key_resp_2.rt,key_resp_12.keys,key_resp_12.rt,key_resp_14.keys,key_resp_14.rt,key_resp_13.keys,key_resp_13.rt,date,frameRate,expName,participant,Scr or Whi,
,,,,,,,,,,,,,,,,,,,,,d,0.750928694382,,,,,,,,,,,,,2018_Nov_05_1105,59.942074218,Arrows_VVA_Direction,1003,Whi,
ahead_word_2_WHI.jpg,ahead,2,_WHI,word,0,0,0,0,0,0,0,0,,,,,,,,,,,d,1.95224532438,f,0.55096901115,,,,,,,,,2018_Nov_05_1105,59.942074218,Arrows_VVA_Direction,1003,Whi,
left_word_3_WHI.jpg,left,3,_WHI,word,0,0,0,0,0,1,1,1,,,,,,,,,,,,,f,1.01828571316,,,,,,,,,2018_Nov_05_1105,59.942074218,Arrows_VVA_Direction,1003,Whi,
right_word_3_WHI.jpg,right,3,_WHI,word,0,0,0,0,0,2,2,2,,,,,,,,,,,,,f,0.283805382904,,,,,,,,,2018_Nov_05_1105,59.942074218,Arrows_VVA_Direction,1003,Whi,
right_word_1_WHI.jpg,right,1,_WHI,word,0,0,0,0,0,3,3,3,,,,,,,,,,,,,f,0.217227833346,,,,,,,,,2018_Nov_05_1105,59.942074218,Arrows_VVA_Direction,1003,Whi,
ahead_word_1_WHI.jpg,ahead,1,_WHI,word,0,0,0,0,0,4,4,4,,,,,,,,,,,,,f,0.250862427521,,,,,,,,,2018_Nov_05_1105,59.942074218,Arrows_VVA_Direction,1003,Whi,
ahead_word_3_WHI.jpg,ahead,3,_WHI,word,0,0,0,0,0,5,5,5,,,,,,,,,,,,,f,0.134064118378,,,,,,,,,2018_Nov_05_1105,59.942074218,Arrows_VVA_Direction,1003,Whi,
left_word_1_WHI.jpg,left,1,_WHI,word,0,0,0,0,0,6,6,6,,,,,,,,,,,,,f,0.234112421982,,,,,,,,,2018_Nov_05_1105,59.942074218,Arrows_VVA_Direction,1003,Whi,
left_word_2_WHI.jpg,left,2,_WHI,word,0,0,0,0,0,7,7,7,,,,,,,,,,,,,f,0.350464852061,,,,,,,,,2018_Nov_05_1105,59.942074218,Arrows_VVA_Direction,1003,Whi,
left_image_1_WHI.jpg,left,1,_WHI,image,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,d,1.60278867371,f,0.584180839825,,,,,2018_Nov_05_1105,59.942074218,Arrows_VVA_Direction,1003,Whi,
ahead_image_2_WHI.jpg,ahead,2,_WHI,image,0,0,0,0,,,,,0,1,1,1,,,,,,,,,,,,,f,0.104666836094,,,,,2018_Nov_05_1105,59.942074218,Arrows_VVA_Direction,1003,Whi,
right_image_3_WHI.jpg,right,3,_WHI,image,0,0,0,0,,,,,0,2,2,2,,,,,,,,,,,,,f,0.250601161271,,,,,2018_Nov_05_1105,59.942074218,Arrows_VVA_Direction,1003,Whi,
right_image_2_WHI.jpg,right,2,_WHI,image,0,0,0,0,,,,,0,3,3,3,,,,,,,,,,,,,f,0.0836251000874,,,,,2018_Nov_05_1105,59.942074218,Arrows_VVA_Direction,1003,Whi,
left_image_3_WHI.jpg,left,3,_WHI,image,0,0,0,0,,,,,0,4,4,4,,,,,,,,,,,,,f,0.366471141577,,,,,2018_Nov_05_1105,59.942074218,Arrows_VVA_Direction,1003,Whi,
left_image_2_WHI.jpg,left,2,_WHI,image,0,0,0,0,,,,,0,5,5,5,,,,,,,,,,,,,f,0.0670992042869,,,,,2018_Nov_05_1105,59.942074218,Arrows_VVA_Direction,1003,Whi,
right_image_1_WHI.jpg,right,1,_WHI,image,0,0,0,0,,,,,0,6,6,6,,,,,,,,,,,,,f,0.346643869299,,,,,2018_Nov_05_1105,59.942074218,Arrows_VVA_Direction,1003,Whi,
ahead_image_3_WHI.jpg,ahead,3,_WHI,image,0,0,0,0,,,,,0,7,7,7,,,,,,,,,,,,,f,0.0872494746,,,,,2018_Nov_05_1105,59.942074218,Arrows_VVA_Direction,1003,Whi,
ahead_schema_2_WHI.jpg,ahead,2,_WHI,schema,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,d,0.562354134861,,,f,0.566617485136,,,2018_Nov_05_1105,59.942074218,Arrows_VVA_Direction,1003,Whi,
right_schema_1_WHI.jpg,right,1,_WHI,schema,0,0,0,0,,,,,,,,,0,1,1,1,,,,,,,,,,,f,0.0667089140043,,,2018_Nov_05_1105,59.942074218,Arrows_VVA_Direction,1003,Whi,
left_schema_2_WHI.jpg,left,2,_WHI,schema,0,0,0,0,,,,,,,,,0,2,2,2,,,,,,,,,,,f,0.317321777809,,,2018_Nov_05_1105,59.942074218,Arrows_VVA_Direction,1003,Whi,
left_schema_1_WHI.jpg,left,1,_WHI,schema,0,0,0,0,,,,,,,,,0,3,3,3,,,,,,,,,,,f,0.133594541345,,,2018_Nov_05_1105,59.942074218,Arrows_VVA_Direction,1003,Whi,
right_schema_2_WHI.jpg,right,2,_WHI,schema,0,0,0,0,,,,,,,,,0,4,4,4,,,,,,,,,,,f,0.217198868748,,,2018_Nov_05_1105,59.942074218,Arrows_VVA_Direction,1003,Whi,
right_schema_3_WHI.jpg,right,3,_WHI,schema,0,0,0,0,,,,,,,,,0,5,5,5,,,,,,,,,,,f,0.100473701954,,,2018_Nov_05_1105,59.942074218,Arrows_VVA_Direction,1003,Whi,
ahead_schema_3_WHI.jpg,ahead,3,_WHI,schema,0,0,0,0,,,,,,,,,0,6,6,6,,,,,,,,,,,f,0.300570016727,,,2018_Nov_05_1105,59.942074218,Arrows_VVA_Direction,1003,Whi,
ahead_schema_1_WHI.jpg,ahead,1,_WHI,schema,0,0,0,0,,,,,,,,,0,7,7,7,,,,,,,,,,,f,0.117180699948,,,2018_Nov_05_1105,59.942074218,Arrows_VVA_Direction,1003,Whi,
