6.1025 	INFO 	Loaded monitor calibration from ['2015_02_18 17:00']
7.0904 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.4,  0.4,  0.4]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x09021050>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([1920, 1080]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
7.0905 	EXP 	window1: recordFrameIntervals = False
7.2551 	EXP 	window1: recordFrameIntervals = True
7.4394 	DEBUG 	Screen (0) actual frame rate measured at 59.75
7.4394 	EXP 	window1: recordFrameIntervals = False
7.5999 	EXP 	Created text_4 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='text_4', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1.5)
7.6132 	EXP 	Created text_3 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'black', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='text_3', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
7.6156 	EXP 	Created image_5 = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='image_5', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.67,  0.67]), texRes=128, units='height', win=Window(...))
7.6162 	EXP 	Created text_6 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_6', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text='', units=u'norm', win=Window(...), wrapWidth=1.5)
7.6168 	EXP 	Created text_9 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_9', opacity=1.0, ori=0, pos=array([ 0. , -0.6]), rgb=array([ 0.,  0.,  0.]), text='', units=u'norm', win=Window(...), wrapWidth=1)
7.6184 	EXP 	Created image = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='image', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.67,  0.67]), texRes=128, units='height', win=Window(...))
7.6190 	EXP 	Created text_same_practice = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=-3.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_same_practice', opacity=1.0, ori=0, pos=array([ 0. , -0.8]), rgb=array([ 0.,  0.,  0.]), text='', units=u'norm', win=Window(...), wrapWidth=1)
7.6241 	EXP 	Created fixation_1 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='fixation_1', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1)
7.6300 	EXP 	Created text_2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_2', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=u'Time for a short break.', units=u'norm', win=Window(...), wrapWidth=1)
7.6306 	EXP 	Created text_11 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_11', opacity=1.0, ori=0, pos=array([ 0. , -0.6]), rgb=array([ 0.,  0.,  0.]), text='', units=u'norm', win=Window(...), wrapWidth=1)
7.6324 	EXP 	Created image_3 = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='image_3', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.67,  0.67]), texRes=128, units='height', win=Window(...))
7.6330 	EXP 	Created text_same_practice_2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=-3.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_same_practice_2', opacity=1.0, ori=0, pos=array([ 0. , -0.8]), rgb=array([ 0.,  0.,  0.]), text='', units=u'norm', win=Window(...), wrapWidth=1)
7.6353 	EXP 	Created fixation_2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='fixation_2', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1)
7.6403 	EXP 	Created text_2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_2', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=u'Time for a short break.', units=u'norm', win=Window(...), wrapWidth=1)
7.6410 	EXP 	Created text_12 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_12', opacity=1.0, ori=0, pos=array([ 0. , -0.6]), rgb=array([ 0.,  0.,  0.]), text='', units=u'norm', win=Window(...), wrapWidth=1)
7.6426 	EXP 	Created image_4 = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='image_4', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.67,  0.67]), texRes=128, units='height', win=Window(...))
7.6433 	EXP 	Created text_same_practice_3 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=-3.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_same_practice_3', opacity=1.0, ori=0, pos=array([ 0. , -0.8]), rgb=array([ 0.,  0.,  0.]), text='', units=u'norm', win=Window(...), wrapWidth=1)
7.6459 	EXP 	Created fixation_3 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='fixation_3', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1)
7.6766 	EXP 	Created text_10 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_10', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
7.6787 	EXP 	Created image_2 = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='image_2', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.67,  0.67]), texRes=128, units='height', win=Window(...))
7.6984 	EXP 	Created unnamed TextStim = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=0.1, italic=False, name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=u'Ready for the next set?', units=u'norm', win=Window(...), wrapWidth=1)
7.6992 	EXP 	Created text_same = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=-3.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_same', opacity=1.0, ori=0, pos=array([ 0. , -0.8]), rgb=array([ 0.,  0.,  0.]), text='', units=u'norm', win=Window(...), wrapWidth=1)
7.7017 	EXP 	Created fixation_4 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='fixation_4', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1)
7.7102 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
7.7122 	EXP 	window1: blendMode = 'avg'
7.7227 	EXP 	text_4: autoDraw = True
7.7236 	EXP 	window1: blendMode = 'avg'
7.7425 	EXP 	window1: blendMode = 'avg'
7.7569 	EXP 	window1: blendMode = 'avg'
7.7733 	EXP 	window1: blendMode = 'avg'
7.7901 	EXP 	window1: blendMode = 'avg'
7.8070 	EXP 	window1: blendMode = 'avg'
7.8235 	EXP 	window1: blendMode = 'avg'
7.8409 	EXP 	window1: blendMode = 'avg'
7.8641 	EXP 	window1: blendMode = 'avg'
7.8736 	EXP 	window1: blendMode = 'avg'
7.8901 	EXP 	window1: blendMode = 'avg'
7.9071 	EXP 	window1: blendMode = 'avg'
7.9238 	EXP 	window1: blendMode = 'avg'
7.9403 	EXP 	window1: blendMode = 'avg'
7.9571 	EXP 	window1: blendMode = 'avg'
7.9738 	EXP 	window1: blendMode = 'avg'
7.9904 	EXP 	window1: blendMode = 'avg'
8.0071 	EXP 	window1: blendMode = 'avg'
8.0238 	EXP 	window1: blendMode = 'avg'
8.0405 	EXP 	window1: blendMode = 'avg'
8.0409 	DATA 	Keypress: d
8.0575 	EXP 	window1: blendMode = 'avg'
8.0731 	EXP 	text_4: autoDraw = False
8.0731 	EXP 	text_3: autoDraw = True
8.0741 	EXP 	window1: blendMode = 'avg'
8.0904 	EXP 	window1: blendMode = 'avg'
8.1075 	EXP 	window1: blendMode = 'avg'
8.1239 	EXP 	window1: blendMode = 'avg'
8.1405 	EXP 	window1: blendMode = 'avg'
8.1573 	EXP 	window1: blendMode = 'avg'
8.1742 	EXP 	window1: blendMode = 'avg'
8.1906 	EXP 	window1: blendMode = 'avg'
8.2074 	EXP 	window1: blendMode = 'avg'
8.2239 	EXP 	window1: blendMode = 'avg'
8.2408 	EXP 	window1: blendMode = 'avg'
8.2574 	EXP 	window1: blendMode = 'avg'
8.2742 	EXP 	window1: blendMode = 'avg'
8.2908 	EXP 	window1: blendMode = 'avg'
8.3072 	EXP 	window1: blendMode = 'avg'
8.3244 	EXP 	window1: blendMode = 'avg'
8.3408 	EXP 	window1: blendMode = 'avg'
8.3574 	EXP 	window1: blendMode = 'avg'
8.3742 	EXP 	window1: blendMode = 'avg'
8.3909 	EXP 	window1: blendMode = 'avg'
8.4075 	EXP 	window1: blendMode = 'avg'
8.4243 	EXP 	window1: blendMode = 'avg'
8.4409 	EXP 	window1: blendMode = 'avg'
8.4578 	EXP 	window1: blendMode = 'avg'
8.4742 	EXP 	window1: blendMode = 'avg'
8.4911 	EXP 	window1: blendMode = 'avg'
8.5074 	EXP 	window1: blendMode = 'avg'
8.5243 	EXP 	window1: blendMode = 'avg'
8.5410 	EXP 	window1: blendMode = 'avg'
8.5577 	EXP 	window1: blendMode = 'avg'
8.5744 	EXP 	window1: blendMode = 'avg'
8.5910 	EXP 	window1: blendMode = 'avg'
8.6078 	EXP 	window1: blendMode = 'avg'
8.6245 	EXP 	window1: blendMode = 'avg'
8.6410 	EXP 	window1: blendMode = 'avg'
8.6580 	EXP 	window1: blendMode = 'avg'
8.6745 	EXP 	window1: blendMode = 'avg'
8.6911 	EXP 	window1: blendMode = 'avg'
8.7077 	EXP 	window1: blendMode = 'avg'
8.7245 	EXP 	window1: blendMode = 'avg'
8.7434 	EXP 	window1: blendMode = 'avg'
8.7595 	EXP 	window1: blendMode = 'avg'
8.7746 	EXP 	window1: blendMode = 'avg'
8.7925 	EXP 	window1: blendMode = 'avg'
8.8079 	EXP 	window1: blendMode = 'avg'
8.8246 	EXP 	window1: blendMode = 'avg'
8.8422 	EXP 	window1: blendMode = 'avg'
8.8580 	EXP 	window1: blendMode = 'avg'
8.8748 	EXP 	window1: blendMode = 'avg'
8.8913 	EXP 	window1: blendMode = 'avg'
8.9080 	EXP 	window1: blendMode = 'avg'
8.9246 	EXP 	window1: blendMode = 'avg'
8.9414 	EXP 	window1: blendMode = 'avg'
8.9582 	EXP 	window1: blendMode = 'avg'
8.9746 	EXP 	window1: blendMode = 'avg'
8.9916 	EXP 	window1: blendMode = 'avg'
9.0082 	EXP 	window1: blendMode = 'avg'
9.0248 	EXP 	window1: blendMode = 'avg'
9.0416 	EXP 	window1: blendMode = 'avg'
9.0607 	EXP 	window1: blendMode = 'avg'
9.0749 	EXP 	window1: blendMode = 'avg'
9.0914 	EXP 	window1: blendMode = 'avg'
9.1082 	EXP 	window1: blendMode = 'avg'
9.1248 	EXP 	window1: blendMode = 'avg'
9.1415 	EXP 	window1: blendMode = 'avg'
9.1603 	EXP 	window1: blendMode = 'avg'
9.1768 	EXP 	window1: blendMode = 'avg'
9.1915 	EXP 	window1: blendMode = 'avg'
9.2080 	EXP 	window1: blendMode = 'avg'
9.2250 	EXP 	window1: blendMode = 'avg'
9.2422 	EXP 	window1: blendMode = 'avg'
9.2644 	EXP 	window1: blendMode = 'avg'
9.2749 	EXP 	window1: blendMode = 'avg'
9.2914 	EXP 	window1: blendMode = 'avg'
9.3082 	EXP 	window1: blendMode = 'avg'
9.3249 	EXP 	window1: blendMode = 'avg'
9.3416 	EXP 	window1: blendMode = 'avg'
9.3584 	EXP 	window1: blendMode = 'avg'
9.3750 	EXP 	window1: blendMode = 'avg'
9.3916 	EXP 	window1: blendMode = 'avg'
9.4083 	EXP 	window1: blendMode = 'avg'
9.4250 	EXP 	window1: blendMode = 'avg'
9.4417 	EXP 	window1: blendMode = 'avg'
9.4643 	EXP 	window1: blendMode = 'avg'
9.4747 	DATA 	Keypress: d
9.4764 	DEBUG 	Read csv file with pandas: Extra_Stimuli\gesture_practice.csv
9.4771 	EXP 	Imported Extra_Stimuli\gesture_practice.csv as conditions, 18 conditions, 4 params
9.4774 	EXP 	Created sequence: sequential, trialTypes=18, nReps=1, seed=None
9.4777 	EXP 	New trial (rep=0, index=0): {'Stimulus': u'right_schema_1_WHI.jpg', 'direction': u'right', 'number': 1, 'format': u'schema'}
9.5244 	EXP 	text_3: autoDraw = False
9.5244 	EXP 	image_5: image = u'Extra_Stimuli//right_schema_1_WHI.jpg'
9.5244 	EXP 	image_5: autoDraw = True
12.9780 	DATA 	Keypress: d
12.9788 	EXP 	New trial (rep=0, index=1): {'Stimulus': u'right_schema_2_WHI.jpg', 'direction': u'right', 'number': 2, 'format': u'schema'}
13.0111 	EXP 	image_5: autoDraw = False
13.0111 	EXP 	image_5: image = u'Extra_Stimuli//right_schema_2_WHI.jpg'
13.0111 	EXP 	image_5: autoDraw = True
17.1325 	DATA 	Keypress: d
17.1330 	EXP 	New trial (rep=0, index=2): {'Stimulus': u'ahead_schema_1_WHI.jpg', 'direction': u'ahead', 'number': 1, 'format': u'schema'}
17.1653 	EXP 	image_5: autoDraw = False
17.1653 	EXP 	image_5: image = u'Extra_Stimuli//ahead_schema_1_WHI.jpg'
17.1653 	EXP 	image_5: autoDraw = True
20.5361 	DATA 	Keypress: d
20.5527 	EXP 	New trial (rep=0, index=3): {'Stimulus': u'ahead_schema_2_WHI.jpg', 'direction': u'ahead', 'number': 2, 'format': u'schema'}
20.5860 	EXP 	image_5: autoDraw = False
20.5860 	EXP 	image_5: image = u'Extra_Stimuli//ahead_schema_2_WHI.jpg'
20.5860 	EXP 	image_5: autoDraw = True
22.0208 	DATA 	Keypress: d
22.0213 	EXP 	New trial (rep=0, index=4): {'Stimulus': u'left_schema_1_WHI.jpg', 'direction': u'left', 'number': 1, 'format': u'schema'}
22.0536 	EXP 	image_5: autoDraw = False
22.0536 	EXP 	image_5: image = u'Extra_Stimuli//left_schema_1_WHI.jpg'
22.0536 	EXP 	image_5: autoDraw = True
24.4066 	DATA 	Keypress: d
24.4071 	EXP 	New trial (rep=0, index=5): {'Stimulus': u'left_schema_2_WHI.jpg', 'direction': u'left', 'number': 2, 'format': u'schema'}
24.4394 	EXP 	image_5: autoDraw = False
24.4394 	EXP 	image_5: image = u'Extra_Stimuli//left_schema_2_WHI.jpg'
24.4394 	EXP 	image_5: autoDraw = True
26.6919 	DATA 	Keypress: d
26.6924 	EXP 	New trial (rep=0, index=6): {'Stimulus': u'right_word_1_WHI.jpg', 'direction': u'right', 'number': 1, 'format': u'word'}
26.7250 	EXP 	image_5: autoDraw = False
26.7250 	EXP 	image_5: image = u'Extra_Stimuli//right_word_1_WHI.jpg'
26.7250 	EXP 	image_5: autoDraw = True
30.0453 	DATA 	Keypress: d
30.0458 	EXP 	New trial (rep=0, index=7): {'Stimulus': u'right_word_2_WHI.jpg', 'direction': u'right', 'number': 2, 'format': u'word'}
