Stimulus,direction,number,format,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,repeat_spatial_practice.thisRepN,repeat_spatial_practice.thisTrialN,repeat_spatial_practice.thisN,repeat_spatial_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Stimulus_Practice,Direction,Number,Background,Format,key_resp_7.keys,key_resp_7.rt,key_resp_4.keys,key_resp_4.rt,key_resp_3.keys,key_resp_3.rt,key_resp_6.keys,key_resp_6.rt,date,frameRate,expName,participant,Scr or Whi,
,,,,,,,,,,,,,,,,,,,,,d,0.885734162177,,,,,,,2018_Nov_27_1346,60.3763255506,Arrows_VVA_Direction,1003,Whi,
,,,,,,,,,,,,,,,,,,,,,,,d,2.73230101529,,,,,2018_Nov_27_1346,60.3763255506,Arrows_VVA_Direction,1003,Whi,
right_schema_1_WHI.jpg,right,1,schema,0,0,0,0,,,,,,,,,,,,,,,,,,d,1.8501987526,,,2018_Nov_27_1346,60.3763255506,Arrows_VVA_Direction,1003,Whi,
right_schema_2_WHI.jpg,right,2,schema,0,1,1,1,,,,,,,,,,,,,,,,,,d,0.518684715847,,,2018_Nov_27_1346,60.3763255506,Arrows_VVA_Direction,1003,Whi,
ahead_schema_1_WHI.jpg,ahead,1,schema,0,2,2,2,,,,,,,,,,,,,,,,,,d,0.451242226642,,,2018_Nov_27_1346,60.3763255506,Arrows_VVA_Direction,1003,Whi,
ahead_schema_2_WHI.jpg,ahead,2,schema,0,3,3,3,,,,,,,,,,,,,,,,,,d,0.468209833605,,,2018_Nov_27_1346,60.3763255506,Arrows_VVA_Direction,1003,Whi,
left_schema_1_WHI.jpg,left,1,schema,0,4,4,4,,,,,,,,,,,,,,,,,,d,0.367625980871,,,2018_Nov_27_1346,60.3763255506,Arrows_VVA_Direction,1003,Whi,
left_schema_2_WHI.jpg,left,2,schema,0,5,5,5,,,,,,,,,,,,,,,,,,d,0.368142719963,,,2018_Nov_27_1346,60.3763255506,Arrows_VVA_Direction,1003,Whi,
right_word_1_WHI.jpg,right,1,word,0,6,6,6,,,,,,,,,,,,,,,,,,d,3.34919204854,,,2018_Nov_27_1346,60.3763255506,Arrows_VVA_Direction,1003,Whi,
right_word_2_WHI.jpg,right,2,word,0,7,7,7,,,,,,,,,,,,,,,,,,d,0.318511666381,,,2018_Nov_27_1346,60.3763255506,Arrows_VVA_Direction,1003,Whi,
ahead_word_1_WHI.jpg,ahead,1,word,0,8,8,8,,,,,,,,,,,,,,,,,,d,0.21776850801,,,2018_Nov_27_1346,60.3763255506,Arrows_VVA_Direction,1003,Whi,
ahead_word_2_WHI.jpg,ahead,2,word,0,9,9,9,,,,,,,,,,,,,,,,,,d,0.251407422475,,,2018_Nov_27_1346,60.3763255506,Arrows_VVA_Direction,1003,Whi,
left_word_1_WHI.jpg,left,1,word,0,10,10,10,,,,,,,,,,,,,,,,,,d,0.234576809453,,,2018_Nov_27_1346,60.3763255506,Arrows_VVA_Direction,1003,Whi,
left_word_2_WHI.jpg,left,2,word,0,11,11,11,,,,,,,,,,,,,,,,,,d,0.17437759263,,,2018_Nov_27_1346,60.3763255506,Arrows_VVA_Direction,1003,Whi,
right_image_1_WHI.jpg,right,1,image,0,12,12,12,,,,,,,,,,,,,,,,,,d,0.467819824931,,,2018_Nov_27_1346,60.3763255506,Arrows_VVA_Direction,1003,Whi,
right_image_2_WHI.jpg,right,2,image,0,13,13,13,,,,,,,,,,,,,,,,,,d,0.118202069076,,,2018_Nov_27_1346,60.3763255506,Arrows_VVA_Direction,1003,Whi,
ahead_image_1_WHI.jpg,ahead,1,image,0,14,14,14,,,,,,,,,,,,,,,,,,d,0.469489633106,,,2018_Nov_27_1346,60.3763255506,Arrows_VVA_Direction,1003,Whi,
ahead_image_2_WHI.jpg,ahead,2,image,0,15,15,15,,,,,,,,,,,,,,,,,,d,0.251524335821,,,2018_Nov_27_1346,60.3763255506,Arrows_VVA_Direction,1003,Whi,
left_image_1_WHI.jpg,left,1,image,0,16,16,16,,,,,,,,,,,,,,,,,,d,0.417736736126,,,2018_Nov_27_1346,60.3763255506,Arrows_VVA_Direction,1003,Whi,
left_image_2_WHI.jpg,left,2,image,0,17,17,17,,,,,,,,,,,,,,,,,,d,0.316446494777,,,2018_Nov_27_1346,60.3763255506,Arrows_VVA_Direction,1003,Whi,
