Stimulus,direction,number,format,Stimulus_Practice,Direction,Number,Background,Format,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,repeat_spatial_practice.thisRepN,repeat_spatial_practice.thisTrialN,repeat_spatial_practice.thisN,repeat_spatial_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_4.keys,key_resp_4.rt,key_resp_3.keys,key_resp_3.rt,key_resp_6.keys,key_resp_6.rt,key_resp_11.keys,key_resp_11.rt,date,frameRate,expName,participant,Scr or Whi,
,,,,,,,,,,,,,,,,,,,,,d,10.0596708755,,,,,,,,,2018_Nov_27_1404,60.0636826583,Arrows_VVA_Direction,1003,Whi,
,,,,,,,,,,,,,,,,,,,,,,,d,6.16502274014,,,,,,,2018_Nov_27_1404,60.0636826583,Arrows_VVA_Direction,1003,Whi,
right_schema_1_WHI.jpg,right,1,schema,,,,,,0,0,0,0,,,,,,,,,,,,,d,86.6396985063,,,,,2018_Nov_27_1404,60.0636826583,Arrows_VVA_Direction,1003,Whi,
right_schema_3_WHI.jpg,right,3,schema,,,,,,0,1,1,1,,,,,,,,,,,,,d,11.4787623786,,,,,2018_Nov_27_1404,60.0636826583,Arrows_VVA_Direction,1003,Whi,
ahead_schema_1_WHI.jpg,ahead,1,schema,,,,,,0,2,2,2,,,,,,,,,,,,,d,4.26576991461,,,,,2018_Nov_27_1404,60.0636826583,Arrows_VVA_Direction,1003,Whi,
ahead_schema_3_WHI.jpg,ahead,3,schema,,,,,,0,3,3,3,,,,,,,,,,,,,d,0.573056114838,,,,,2018_Nov_27_1404,60.0636826583,Arrows_VVA_Direction,1003,Whi,
left_schema_1_WHI.jpg,left,1,schema,,,,,,0,4,4,4,,,,,,,,,,,,,d,0.434591892059,,,,,2018_Nov_27_1404,60.0636826583,Arrows_VVA_Direction,1003,Whi,
left_schema_2_WHI.jpg,left,2,schema,,,,,,0,5,5,5,,,,,,,,,,,,,d,0.401046686806,,,,,2018_Nov_27_1404,60.0636826583,Arrows_VVA_Direction,1003,Whi,
right_word_1_WHI.jpg,right,1,word,,,,,,0,6,6,6,,,,,,,,,,,,,d,50.4249514497,,,,,2018_Nov_27_1404,60.0636826583,Arrows_VVA_Direction,1003,Whi,
right_word_2_WHI.jpg,right,2,word,,,,,,0,7,7,7,,,,,,,,,,,,,d,1.13414199883,,,,,2018_Nov_27_1404,60.0636826583,Arrows_VVA_Direction,1003,Whi,
