Stimulus_Practice,Format,Direction,Number,Background,repeat_spatial_practice.thisRepN,repeat_spatial_practice.thisTrialN,repeat_spatial_practice.thisN,repeat_spatial_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_6.keys,key_resp_6.rt,key_resp_11.keys,key_resp_11.rt,key_resp_2.keys,key_resp_2.rt,key_resp_12.keys,key_resp_12.rt,key_resp_14.keys,key_resp_14.rt,participant,Scr or Whi,date,expName,frameRate,
,,,,,,,,,,,,,,,,,,,,,d,5.634185085642912,,,,,,,,,,,1004,Whi,2018_Nov_02_1444,Arrows_VVA_Direction,None,
ahead_image_1_WHI.jpg,image,ahead,1,_WHI,0,0,0,0,0,0,0,0,,,,,,,,,,,d,1.0460792286453398,f,0.6460106703038946,,,,,,,1004,Whi,2018_Nov_02_1444,Arrows_VVA_Direction,None,
ahead_image_2_WHI.jpg,image,ahead,2,_WHI,0,0,0,0,0,1,1,1,,,,,,,,,,,,,a,0.4155623789743004,,,,,,,1004,Whi,2018_Nov_02_1444,Arrows_VVA_Direction,None,
left_image_1_WHI.jpg,image,left,1,_WHI,0,0,0,0,0,2,2,2,,,,,,,,,,,,,f,0.3389123291967735,,,,,,,1004,Whi,2018_Nov_02_1444,Arrows_VVA_Direction,None,
right_image_1_WHI.jpg,image,right,1,_WHI,0,0,0,0,0,3,3,3,,,,,,,,,,,,,a,0.2567531790286921,,,,,,,1004,Whi,2018_Nov_02_1444,Arrows_VVA_Direction,None,
right_image_2_WHI.jpg,image,right,2,_WHI,0,0,0,0,0,4,4,4,,,,,,,,,,,,,f,0.33191427289830244,,,,,,,1004,Whi,2018_Nov_02_1444,Arrows_VVA_Direction,None,
left_image_2_WHI.jpg,image,left,2,_WHI,0,0,0,0,0,5,5,5,,,,,,,,,,,,,a,0.15334933027952502,,,,,,,1004,Whi,2018_Nov_02_1444,Arrows_VVA_Direction,None,
left_image_3_WHI.jpg,image,left,3,_WHI,0,0,0,0,0,6,6,6,,,,,,,,,,,,,f,0.47758980960497865,,,,,,,1004,Whi,2018_Nov_02_1444,Arrows_VVA_Direction,None,
ahead_image_3_WHI.jpg,image,ahead,3,_WHI,0,0,0,0,0,7,7,7,,,,,,,,,,,,,a,0.1114948271274443,,,,,,,1004,Whi,2018_Nov_02_1444,Arrows_VVA_Direction,None,
ahead_word_2_WHI.jpg,word,ahead,2,_WHI,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,d,1.0182131799765557,f,0.5880150536613655,,,1004,Whi,2018_Nov_02_1444,Arrows_VVA_Direction,None,
left_word_3_WHI.jpg,word,left,3,_WHI,0,0,0,0,,,,,0,1,1,1,,,,,,,,,,,,,a,0.4340268179812483,,,1004,Whi,2018_Nov_02_1444,Arrows_VVA_Direction,None,
right_word_3_WHI.jpg,word,right,3,_WHI,0,0,0,0,,,,,0,2,2,2,,,,,,,,,,,,,f,0.7050561777264193,,,1004,Whi,2018_Nov_02_1444,Arrows_VVA_Direction,None,
right_word_1_WHI.jpg,word,right,1,_WHI,0,0,0,0,,,,,0,3,3,3,,,,,,,,,,,,,f,0.13471057804144948,,,1004,Whi,2018_Nov_02_1444,Arrows_VVA_Direction,None,
ahead_word_1_WHI.jpg,word,ahead,1,_WHI,0,0,0,0,,,,,0,4,4,4,,,,,,,,,,,,,f,0.6041623665755651,,,1004,Whi,2018_Nov_02_1444,Arrows_VVA_Direction,None,
ahead_word_3_WHI.jpg,word,ahead,3,_WHI,0,0,0,0,,,,,0,5,5,5,,,,,,,,,,,,,f,0.12171986623843623,,,1004,Whi,2018_Nov_02_1444,Arrows_VVA_Direction,None,
left_word_1_WHI.jpg,word,left,1,_WHI,0,0,0,0,,,,,0,6,6,6,,,,,,,,,,,,,f,0.4869075446995339,,,1004,Whi,2018_Nov_02_1444,Arrows_VVA_Direction,None,
left_word_2_WHI.jpg,word,left,2,_WHI,0,0,0,0,,,,,0,7,7,7,,,,,,,,,,,,,f,0.09742395676448723,,,1004,Whi,2018_Nov_02_1444,Arrows_VVA_Direction,None,
ahead_schema_2_WHI.jpg,schema,ahead,2,_WHI,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,d,0.9605173237446252,,,f,0.378118584051208,1004,Whi,2018_Nov_02_1444,Arrows_VVA_Direction,None,
right_schema_1_WHI.jpg,schema,right,1,_WHI,0,0,0,0,,,,,,,,,0,1,1,1,,,,,,,,,,,f,0.10157975924312268,1004,Whi,2018_Nov_02_1444,Arrows_VVA_Direction,None,
left_schema_2_WHI.jpg,schema,left,2,_WHI,0,0,0,0,,,,,,,,,0,2,2,2,,,,,,,,,,,f,0.7035230965029768,1004,Whi,2018_Nov_02_1444,Arrows_VVA_Direction,None,
left_schema_1_WHI.jpg,schema,left,1,_WHI,0,0,0,0,,,,,,,,,0,3,3,3,,,,,,,,,,,f,0.8721806293510781,1004,Whi,2018_Nov_02_1444,Arrows_VVA_Direction,None,
right_schema_2_WHI.jpg,schema,right,2,_WHI,0,0,0,0,,,,,,,,,0,4,4,4,,,,,,,,,,,f,0.7181511857311307,1004,Whi,2018_Nov_02_1444,Arrows_VVA_Direction,None,
