Stimulus_Practice,Direction,Number,Background,Format,repeat_spatial_practice.thisRepN,repeat_spatial_practice.thisTrialN,repeat_spatial_practice.thisN,repeat_spatial_practice.thisIndex,repeat_spatial_practice.thisTrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_6.keys,key_resp_6.rt,key_resp_11.keys,key_resp_11.rt,key_resp_2.keys,key_resp_2.rt,key_resp_12.keys,key_resp_12.rt,key_resp_14.keys,key_resp_14.rt,date,frameRate,expName,participant,Scr or Whi,
,,,,,,,,,,,,,,,,,,,,,,d,0.483700936698,,,,,,,,,,,2018_Aug_09_0936,60.1943393135,Arrows_VVA_Direction,1005,Whi,
ahead_schema_3_WHI.jpg,ahead,3,_WHI,schema,0,0,0,0,None,0,0,0,3,,,,,,,,,,,s,0.934810440361,f,0.801763264534,,,,,,,2018_Aug_09_0936,60.1943393135,Arrows_VVA_Direction,1005,Whi,
left_schema_2_WHI.jpg,left,2,_WHI,schema,0,0,0,0,None,0,1,1,8,,,,,,,,,,,,,a,0.300615763712,,,,,,,2018_Aug_09_0936,60.1943393135,Arrows_VVA_Direction,1005,Whi,
right_schema_1_WHI.jpg,right,1,_WHI,schema,0,0,0,0,None,0,2,2,1,,,,,,,,,,,,,f,0.135699167811,,,,,,,2018_Aug_09_0936,60.1943393135,Arrows_VVA_Direction,1005,Whi,
right_schema_2_WHI.jpg,right,2,_WHI,schema,0,0,0,0,None,0,3,3,7,,,,,,,,,,,,,a,0.1017136875,,,,,,,2018_Aug_09_0936,60.1943393135,Arrows_VVA_Direction,1005,Whi,
left_schema_1_WHI.jpg,left,1,_WHI,schema,0,0,0,0,None,0,4,4,6,,,,,,,,,,,,,f,0.0856187780489,,,,,,,2018_Aug_09_0936,60.1943393135,Arrows_VVA_Direction,1005,Whi,
ahead_schema_1_WHI.jpg,ahead,1,_WHI,schema,0,0,0,0,None,0,5,5,4,,,,,,,,,,,,,a,0.100549452756,,,,,,,2018_Aug_09_0936,60.1943393135,Arrows_VVA_Direction,1005,Whi,
right_schema_3_WHI.jpg,right,3,_WHI,schema,0,0,0,0,None,0,6,6,2,,,,,,,,,,,,,f,0.133806672774,,,,,,,2018_Aug_09_0936,60.1943393135,Arrows_VVA_Direction,1005,Whi,
left_schema_3_WHI.jpg,left,3,_WHI,schema,0,0,0,0,None,0,7,7,5,,,,,,,,,,,,,a,0.13380756525,,,,,,,2018_Aug_09_0936,60.1943393135,Arrows_VVA_Direction,1005,Whi,
ahead_schema_2_WHI.jpg,ahead,2,_WHI,schema,0,0,0,0,None,0,8,8,0,,,,,,,,,,,,,f,0.153331813149,,,,,,,2018_Aug_09_0936,60.1943393135,Arrows_VVA_Direction,1005,Whi,
left_image_3_WHI.jpg,left,3,_WHI,image,0,0,0,0,None,,,,,0,0,0,2,,,,,,,,,,,s,1.88412004336,f,0.402417360083,,,2018_Aug_09_0936,60.1943393135,Arrows_VVA_Direction,1005,Whi,
right_image_2_WHI.jpg,right,2,_WHI,image,0,0,0,0,None,,,,,0,1,1,7,,,,,,,,,,,,,a,0.234589061727,,,2018_Aug_09_0936,60.1943393135,Arrows_VVA_Direction,1005,Whi,
right_image_3_WHI.jpg,right,3,_WHI,image,0,0,0,0,None,,,,,0,2,2,4,,,,,,,,,,,,,f,0.101648536763,,,2018_Aug_09_0936,60.1943393135,Arrows_VVA_Direction,1005,Whi,
ahead_image_1_WHI.jpg,ahead,1,_WHI,image,0,0,0,0,None,,,,,0,3,3,0,,,,,,,,,,,,,a,0.0849846739585,,,2018_Aug_09_0936,60.1943393135,Arrows_VVA_Direction,1005,Whi,
ahead_image_3_WHI.jpg,ahead,3,_WHI,image,0,0,0,0,None,,,,,0,4,4,6,,,,,,,,,,,,,f,0.0995646056573,,,2018_Aug_09_0936,60.1943393135,Arrows_VVA_Direction,1005,Whi,
left_image_2_WHI.jpg,left,2,_WHI,image,0,0,0,0,None,,,,,0,5,5,8,,,,,,,,,,,,,a,0.0674319052084,,,2018_Aug_09_0936,60.1943393135,Arrows_VVA_Direction,1005,Whi,
left_image_1_WHI.jpg,left,1,_WHI,image,0,0,0,0,None,,,,,0,6,6,3,,,,,,,,,,,,,f,0.0847088989213,,,2018_Aug_09_0936,60.1943393135,Arrows_VVA_Direction,1005,Whi,
ahead_image_2_WHI.jpg,ahead,2,_WHI,image,0,0,0,0,None,,,,,0,7,7,1,,,,,,,,,,,,,a,0.0509750968002,,,2018_Aug_09_0936,60.1943393135,Arrows_VVA_Direction,1005,Whi,
right_image_1_WHI.jpg,right,1,_WHI,image,0,0,0,0,None,,,,,0,8,8,5,,,,,,,,,,,,,f,0.118356577123,,,2018_Aug_09_0936,60.1943393135,Arrows_VVA_Direction,1005,Whi,
left_word_2_WHI.jpg,left,2,_WHI,word,0,0,0,0,None,,,,,,,,,0,0,0,5,,,,,,,d,0.400624822342,,,f,0.202336769514,2018_Aug_09_0936,60.1943393135,Arrows_VVA_Direction,1005,Whi,
ahead_word_3_WHI.jpg,ahead,3,_WHI,word,0,0,0,0,None,,,,,,,,,0,1,1,4,,,,,,,,,,,a,0.0672833079796,2018_Aug_09_0936,60.1943393135,Arrows_VVA_Direction,1005,Whi,
left_word_3_WHI.jpg,left,3,_WHI,word,0,0,0,0,None,,,,,,,,,0,2,2,2,,,,,,,,,,,f,0.101197390222,2018_Aug_09_0936,60.1943393135,Arrows_VVA_Direction,1005,Whi,
ahead_word_2_WHI.jpg,ahead,2,_WHI,word,0,0,0,0,None,,,,,,,,,0,3,3,7,,,,,,,,,,,a,0.0513561839875,2018_Aug_09_0936,60.1943393135,Arrows_VVA_Direction,1005,Whi,
right_word_1_WHI.jpg,right,1,_WHI,word,0,0,0,0,None,,,,,,,,,0,4,4,6,,,,,,,,,,,f,0.101073336079,2018_Aug_09_0936,60.1943393135,Arrows_VVA_Direction,1005,Whi,
right_word_3_WHI.jpg,right,3,_WHI,word,0,0,0,0,None,,,,,,,,,0,5,5,1,,,,,,,,,,,f,0.351378005022,2018_Aug_09_0936,60.1943393135,Arrows_VVA_Direction,1005,Whi,
right_word_2_WHI.jpg,right,2,_WHI,word,0,0,0,0,None,,,,,,,,,0,6,6,3,,,,,,,,,,,f,0.217062621014,2018_Aug_09_0936,60.1943393135,Arrows_VVA_Direction,1005,Whi,
left_word_1_WHI.jpg,left,1,_WHI,word,0,0,0,0,None,,,,,,,,,0,7,7,0,,,,,,,,,,,f,0.217804268444,2018_Aug_09_0936,60.1943393135,Arrows_VVA_Direction,1005,Whi,
ahead_word_1_WHI.jpg,ahead,1,_WHI,word,0,0,0,0,None,,,,,,,,,0,8,8,8,,,,,,,,,,,f,0.21872307233,2018_Aug_09_0936,60.1943393135,Arrows_VVA_Direction,1005,Whi,
left_image_1_WHI.jpg,left,1,_WHI,image,1,0,1,0,None,0,0,0,3,,,,,,,,,,,d,0.518473580707,f,0.302422134829,,,,,,,2018_Aug_09_0936,60.1943393135,Arrows_VVA_Direction,1005,Whi,
left_image_3_WHI.jpg,left,3,_WHI,image,1,0,1,0,None,0,1,1,2,,,,,,,,,,,,,f,0.734825790946,,,,,,,2018_Aug_09_0936,60.1943393135,Arrows_VVA_Direction,1005,Whi,
right_image_2_WHI.jpg,right,2,_WHI,image,1,0,1,0,None,0,2,2,7,,,,,,,,,,,,,f,0.306690400574,,,,,,,2018_Aug_09_0936,60.1943393135,Arrows_VVA_Direction,1005,Whi,
ahead_image_2_WHI.jpg,ahead,2,_WHI,image,1,0,1,0,None,0,3,3,1,,,,,,,,,,,,,f,0.21767619816,,,,,,,2018_Aug_09_0936,60.1943393135,Arrows_VVA_Direction,1005,Whi,
ahead_image_1_WHI.jpg,ahead,1,_WHI,image,1,0,1,0,None,0,4,4,0,,,,,,,,,,,,,f,0.217705203625,,,,,,,2018_Aug_09_0936,60.1943393135,Arrows_VVA_Direction,1005,Whi,
right_image_1_WHI.jpg,right,1,_WHI,image,1,0,1,0,None,0,5,5,5,,,,,,,,,,,,,f,0.233406977465,,,,,,,2018_Aug_09_0936,60.1943393135,Arrows_VVA_Direction,1005,Whi,
left_image_2_WHI.jpg,left,2,_WHI,image,1,0,1,0,None,0,6,6,8,,,,,,,,,,,,,f,0.234236980004,,,,,,,2018_Aug_09_0936,60.1943393135,Arrows_VVA_Direction,1005,Whi,
ahead_image_3_WHI.jpg,ahead,3,_WHI,image,1,0,1,0,None,0,7,7,6,,,,,,,,,,,,,f,0.41675052221,,,,,,,2018_Aug_09_0936,60.1943393135,Arrows_VVA_Direction,1005,Whi,
right_image_3_WHI.jpg,right,3,_WHI,image,1,0,1,0,None,0,8,8,4,,,,,,,,,,,,,f,1.71653717586,,,,,,,2018_Aug_09_0936,60.1943393135,Arrows_VVA_Direction,1005,Whi,
