4.4490 	INFO 	Loaded monitor calibration from ['2015_02_18 17:00']
5.2613 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.4,  0.4,  0.4]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x091A2BD0>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([1920, 1080]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
5.2614 	EXP 	window1: recordFrameIntervals = False
5.4264 	EXP 	window1: recordFrameIntervals = True
5.6103 	DEBUG 	Screen (0) actual frame rate measured at 59.96
5.6104 	EXP 	window1: recordFrameIntervals = False
5.7804 	EXP 	Created text_4 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_4', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1.5)
5.7810 	EXP 	Created text_6 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_6', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text='', units=u'norm', win=Window(...), wrapWidth=1.5)
5.7815 	EXP 	Created text_9 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_9', opacity=1.0, ori=0, pos=array([ 0. , -0.6]), rgb=array([ 0.,  0.,  0.]), text='', units=u'norm', win=Window(...), wrapWidth=1)
5.7834 	EXP 	Created image = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='image', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.83333333,  1.48148148]), texRes=128, units=u'norm', win=Window(...))
6.2424 	EXP 	Created text_2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=2, italic=False, name='text_2', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1)
6.2613 	EXP 	Created text_10 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_10', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
6.2628 	EXP 	Created image_2 = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='image_2', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.83333333,  1.48148148]), texRes=128, units=u'norm', win=Window(...))
6.2699 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
6.2712 	EXP 	window1: blendMode = 'avg'
6.2768 	EXP 	text_4: autoDraw = True
6.2772 	EXP 	window1: blendMode = 'avg'
6.2938 	EXP 	window1: blendMode = 'avg'
6.3104 	EXP 	window1: blendMode = 'avg'
6.3287 	EXP 	window1: blendMode = 'avg'
6.3455 	EXP 	window1: blendMode = 'avg'
6.3621 	EXP 	window1: blendMode = 'avg'
6.3790 	EXP 	window1: blendMode = 'avg'
6.3955 	EXP 	window1: blendMode = 'avg'
6.4122 	EXP 	window1: blendMode = 'avg'
6.4288 	EXP 	window1: blendMode = 'avg'
6.4455 	EXP 	window1: blendMode = 'avg'
6.4667 	EXP 	window1: blendMode = 'avg'
6.4789 	EXP 	window1: blendMode = 'avg'
6.4956 	EXP 	window1: blendMode = 'avg'
6.5123 	EXP 	window1: blendMode = 'avg'
6.5289 	EXP 	window1: blendMode = 'avg'
6.5455 	EXP 	window1: blendMode = 'avg'
6.5658 	EXP 	window1: blendMode = 'avg'
6.5789 	EXP 	window1: blendMode = 'avg'
6.5949 	DATA 	Keypress: space
6.5965 	EXP 	Created sequence: random, trialTypes=1, nReps=2, seed=None
6.5974 	EXP 	New trial (rep=0, index=0): None
6.6850 	EXP 	window1: blendMode = 'avg'
6.6938 	EXP 	text_4: autoDraw = False
6.6938 	EXP 	text_6: text = "Let's try a few for practice. You'll see spatial directions one at a time on the screen. They will be either LEFT or RIGHT or AHEAD. Tell the experimenter if the spatial direction on the screen is the SAME or DIFFERENT from the spatial direction that you just saw."
6.6938 	EXP 	text_6: autoDraw = True
6.6942 	EXP 	window1: blendMode = 'avg'
6.7108 	EXP 	window1: blendMode = 'avg'
6.7275 	EXP 	window1: blendMode = 'avg'
6.7458 	EXP 	window1: blendMode = 'avg'
6.7625 	EXP 	window1: blendMode = 'avg'
6.7792 	EXP 	window1: blendMode = 'avg'
6.7959 	EXP 	window1: blendMode = 'avg'
6.8125 	EXP 	window1: blendMode = 'avg'
6.8292 	EXP 	window1: blendMode = 'avg'
6.8459 	EXP 	window1: blendMode = 'avg'
6.8627 	EXP 	window1: blendMode = 'avg'
6.8793 	EXP 	window1: blendMode = 'avg'
6.8960 	EXP 	window1: blendMode = 'avg'
6.9127 	EXP 	window1: blendMode = 'avg'
6.9293 	EXP 	window1: blendMode = 'avg'
6.9461 	EXP 	window1: blendMode = 'avg'
6.9627 	EXP 	window1: blendMode = 'avg'
