Stimulus_Practice,Direction,Number,Background,Format,repeat_spatial_practice.thisRepN,repeat_spatial_practice.thisTrialN,repeat_spatial_practice.thisN,repeat_spatial_practice.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_6.keys,key_resp_6.rt,key_resp_11.keys,key_resp_11.rt,date,frameRate,expName,participant,Scr or Whi,
,,,,,,,,,,,,,space,0.269054325938,,,,,2018_May_10_0941,59.9330524287,Arrows_VVA_Direction,,Whi,
left_schema_2_WHI.jpg,left,2,_WHI,schema,0,0,0,0,0,0,0,8,,,space,0.0506541320938,f,0.485309383017,2018_May_10_0941,59.9330524287,Arrows_VVA_Direction,,Whi,
right_schema_1_WHI.jpg,right,1,_WHI,schema,0,0,0,0,0,1,1,1,,,,,j,0.252071993717,2018_May_10_0941,59.9330524287,Arrows_VVA_Direction,,Whi,
ahead_schema_1_WHI.jpg,ahead,1,_WHI,schema,0,0,0,0,0,2,2,4,,,,,f,0.21837415488,2018_May_10_0941,59.9330524287,Arrows_VVA_Direction,,Whi,
ahead_schema_3_WHI.jpg,ahead,3,_WHI,schema,0,0,0,0,0,3,3,3,,,,,j,0.118151039584,2018_May_10_0941,59.9330524287,Arrows_VVA_Direction,,Whi,
right_schema_2_WHI.jpg,right,2,_WHI,schema,0,0,0,0,0,4,4,7,,,,,f,0.0683389292681,2018_May_10_0941,59.9330524287,Arrows_VVA_Direction,,Whi,
left_schema_3_WHI.jpg,left,3,_WHI,schema,0,0,0,0,0,5,5,5,,,,,j,0.0677812873619,2018_May_10_0941,59.9330524287,Arrows_VVA_Direction,,Whi,
left_schema_1_WHI.jpg,left,1,_WHI,schema,0,0,0,0,0,6,6,6,,,,,f,0.0170499162632,2018_May_10_0941,59.9330524287,Arrows_VVA_Direction,,Whi,
right_schema_3_WHI.jpg,right,3,_WHI,schema,0,0,0,0,0,7,7,2,,,,,j,0.0711900417809,2018_May_10_0941,59.9330524287,Arrows_VVA_Direction,,Whi,
ahead_schema_2_WHI.jpg,ahead,2,_WHI,schema,0,0,0,0,0,8,8,0,,,,,f,0.0169246955193,2018_May_10_0941,59.9330524287,Arrows_VVA_Direction,,Whi,
left_schema_2_WHI.jpg,left,2,_WHI,schema,0,0,0,0,1,0,9,8,,,,,j,0.0840772459633,2018_May_10_0941,59.9330524287,Arrows_VVA_Direction,,Whi,
left_schema_3_WHI.jpg,left,3,_WHI,schema,0,0,0,0,1,1,10,5,,,,,f,0.301546476199,2018_May_10_0941,59.9330524287,Arrows_VVA_Direction,,Whi,
right_schema_1_WHI.jpg,right,1,_WHI,schema,0,0,0,0,1,2,11,1,,,,,j,0.0349085010821,2018_May_10_0941,59.9330524287,Arrows_VVA_Direction,,Whi,
ahead_schema_2_WHI.jpg,ahead,2,_WHI,schema,0,0,0,0,1,3,12,0,,,,,f,0.0340500953607,2018_May_10_0941,59.9330524287,Arrows_VVA_Direction,,Whi,
ahead_schema_1_WHI.jpg,ahead,1,_WHI,schema,0,0,0,0,1,4,13,4,,,,,j,0.117990125087,2018_May_10_0941,59.9330524287,Arrows_VVA_Direction,,Whi,
right_schema_3_WHI.jpg,right,3,_WHI,schema,0,0,0,0,1,5,14,2,,,,,f,0.0672488065902,2018_May_10_0941,59.9330524287,Arrows_VVA_Direction,,Whi,
ahead_schema_3_WHI.jpg,ahead,3,_WHI,schema,0,0,0,0,1,6,15,3,,,,,j,0.13667054422,2018_May_10_0941,59.9330524287,Arrows_VVA_Direction,,Whi,
left_schema_1_WHI.jpg,left,1,_WHI,schema,0,0,0,0,1,7,16,6,,,,,f,0.000406967417803,2018_May_10_0941,59.9330524287,Arrows_VVA_Direction,,Whi,
right_schema_2_WHI.jpg,right,2,_WHI,schema,0,0,0,0,1,8,17,7,,,,,j,0.0843142291997,2018_May_10_0941,59.9330524287,Arrows_VVA_Direction,,Whi,
right_schema_3_WHI.jpg,right,3,_WHI,schema,0,0,0,0,2,0,18,2,,,,,j,0.301440857816,2018_May_10_0941,59.9330524287,Arrows_VVA_Direction,,Whi,
left_schema_2_WHI.jpg,left,2,_WHI,schema,0,0,0,0,2,1,19,8,,,,,j,0.0691540343687,2018_May_10_0941,59.9330524287,Arrows_VVA_Direction,,Whi,
ahead_schema_1_WHI.jpg,ahead,1,_WHI,schema,0,0,0,0,2,2,20,4,,,,,f,0.0172845589113,2018_May_10_0941,59.9330524287,Arrows_VVA_Direction,,Whi,
left_schema_3_WHI.jpg,left,3,_WHI,schema,0,0,0,0,2,3,21,5,,,,,j,0.0340878370916,2018_May_10_0941,59.9330524287,Arrows_VVA_Direction,,Whi,
ahead_schema_3_WHI.jpg,ahead,3,_WHI,schema,0,0,0,0,2,4,22,3,,,,,f,0.0514405652066,2018_May_10_0941,59.9330524287,Arrows_VVA_Direction,,Whi,
left_schema_1_WHI.jpg,left,1,_WHI,schema,0,0,0,0,2,5,23,6,,,,,j,0.0344263427542,2018_May_10_0941,59.9330524287,Arrows_VVA_Direction,,Whi,
right_schema_1_WHI.jpg,right,1,_WHI,schema,0,0,0,0,2,6,24,1,,,,,f,0.0169115298195,2018_May_10_0941,59.9330524287,Arrows_VVA_Direction,,Whi,
ahead_schema_2_WHI.jpg,ahead,2,_WHI,schema,0,0,0,0,2,7,25,0,,,,,j,0.0513159296243,2018_May_10_0941,59.9330524287,Arrows_VVA_Direction,,Whi,
right_schema_2_WHI.jpg,right,2,_WHI,schema,0,0,0,0,2,8,26,7,,,,,f,0.0342718648026,2018_May_10_0941,59.9330524287,Arrows_VVA_Direction,,Whi,
