5.0774 	INFO 	Loaded monitor calibration from ['2015_02_18 17:00']
5.9232 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.4,  0.4,  0.4]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x08E0D090>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([1920, 1080]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
5.9233 	EXP 	window1: recordFrameIntervals = False
6.0882 	EXP 	window1: recordFrameIntervals = True
6.2749 	DEBUG 	Screen (0) actual frame rate measured at 59.93
6.2750 	EXP 	window1: recordFrameIntervals = False
6.4280 	EXP 	Created text_4 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_4', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1.5)
6.4285 	EXP 	Created text_6 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_6', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text='', units=u'norm', win=Window(...), wrapWidth=1.5)
6.4289 	EXP 	Created text_9 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_9', opacity=1.0, ori=0, pos=array([ 0. , -0.6]), rgb=array([ 0.,  0.,  0.]), text='', units=u'norm', win=Window(...), wrapWidth=1)
6.4308 	EXP 	Created image = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='image', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.83333333,  1.48148148]), texRes=128, units=u'norm', win=Window(...))
6.8922 	EXP 	Created text_2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=2, italic=False, name='text_2', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1)
6.9115 	EXP 	Created text_10 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_10', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
6.9130 	EXP 	Created image_2 = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='image_2', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.83333333,  1.48148148]), texRes=128, units=u'norm', win=Window(...))
6.9199 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
6.9214 	EXP 	window1: blendMode = 'avg'
6.9386 	EXP 	text_4: autoDraw = True
6.9390 	EXP 	window1: blendMode = 'avg'
6.9555 	EXP 	window1: blendMode = 'avg'
6.9728 	EXP 	window1: blendMode = 'avg'
6.9907 	EXP 	window1: blendMode = 'avg'
7.0076 	EXP 	window1: blendMode = 'avg'
7.0243 	EXP 	window1: blendMode = 'avg'
7.0408 	EXP 	window1: blendMode = 'avg'
7.0577 	EXP 	window1: blendMode = 'avg'
7.0744 	EXP 	window1: blendMode = 'avg'
7.0909 	EXP 	window1: blendMode = 'avg'
7.1078 	EXP 	window1: blendMode = 'avg'
7.1245 	EXP 	window1: blendMode = 'avg'
7.1411 	EXP 	window1: blendMode = 'avg'
7.1580 	EXP 	window1: blendMode = 'avg'
7.1743 	EXP 	window1: blendMode = 'avg'
7.1911 	EXP 	window1: blendMode = 'avg'
7.2074 	DATA 	Keypress: space
7.2091 	EXP 	Created sequence: random, trialTypes=1, nReps=2, seed=None
7.2100 	EXP 	New trial (rep=0, index=0): None
7.2964 	EXP 	window1: blendMode = 'avg'
7.3060 	EXP 	text_4: autoDraw = False
7.3060 	EXP 	text_6: text = "Let's try a few for practice. You'll see spatial directions one at a time on the screen. They will be either LEFT or RIGHT or AHEAD. Tell the experimenter if the spatial direction on the screen is the SAME or DIFFERENT from the spatial direction that you just saw."
7.3060 	EXP 	text_6: autoDraw = True
7.3064 	EXP 	window1: blendMode = 'avg'
7.3228 	EXP 	window1: blendMode = 'avg'
7.3397 	EXP 	window1: blendMode = 'avg'
7.3565 	DATA 	Keypress: space
7.3883 	DEBUG 	Read excel file with pandas: Extra_Stimuli//practice_order_WHI_schema.xlsx
7.3893 	EXP 	Imported Extra_Stimuli//practice_order_WHI_schema.xlsx as conditions, 9 conditions, 5 params
7.3898 	EXP 	Created sequence: random, trialTypes=9, nReps=3, seed=None
