Stimulus_Practice,Direction,Number,Background,Format,repeat_spatial_practice.thisRepN,repeat_spatial_practice.thisTrialN,repeat_spatial_practice.thisN,repeat_spatial_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_6.keys,key_resp_6.rt,key_resp_11.keys,key_resp_11.rt,date,frameRate,expName,participant,Scr or Whi,
,,,,,,,,,,,,,,,,,space,0.251377428183,,,,,2018_May_10_1003,59.9211795058,Arrows_VVA_Direction,,Whi,
ahead_image_1_WHI.jpg,ahead,1,_WHI,image,0,0,0,0,0,0,0,0,,,,,,,space,0.0676829831791,f,0.184676608653,2018_May_10_1003,59.9211795058,Arrows_VVA_Direction,,Whi,
right_image_2_WHI.jpg,right,2,_WHI,image,0,0,0,0,0,1,1,7,,,,,,,,,j,0.0512620963855,2018_May_10_1003,59.9211795058,Arrows_VVA_Direction,,Whi,
right_image_1_WHI.jpg,right,1,_WHI,image,0,0,0,0,0,2,2,5,,,,,,,,,f,0.0173322480987,2018_May_10_1003,59.9211795058,Arrows_VVA_Direction,,Whi,
left_image_3_WHI.jpg,left,3,_WHI,image,0,0,0,0,0,3,3,2,,,,,,,,,j,0.0168462863076,2018_May_10_1003,59.9211795058,Arrows_VVA_Direction,,Whi,
ahead_image_3_WHI.jpg,ahead,3,_WHI,image,0,0,0,0,0,4,4,6,,,,,,,,,f,0.0545447524055,2018_May_10_1003,59.9211795058,Arrows_VVA_Direction,,Whi,
right_image_3_WHI.jpg,right,3,_WHI,image,0,0,0,0,0,5,5,4,,,,,,,,,j,0.0169542452786,2018_May_10_1003,59.9211795058,Arrows_VVA_Direction,,Whi,
left_image_1_WHI.jpg,left,1,_WHI,image,0,0,0,0,0,6,6,3,,,,,,,,,f,0.000447049795184,2018_May_10_1003,59.9211795058,Arrows_VVA_Direction,,Whi,
ahead_image_2_WHI.jpg,ahead,2,_WHI,image,0,0,0,0,0,7,7,1,,,,,,,,,j,0.0340816930984,2018_May_10_1003,59.9211795058,Arrows_VVA_Direction,,Whi,
left_image_2_WHI.jpg,left,2,_WHI,image,0,0,0,0,0,8,8,8,,,,,,,,,f,0.000228791206609,2018_May_10_1003,59.9211795058,Arrows_VVA_Direction,,Whi,
