Stimulus_Practice,Direction,Number,Background,Format,repeat_spatial_practice.thisRepN,repeat_spatial_practice.thisTrialN,repeat_spatial_practice.thisN,repeat_spatial_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_6.keys,key_resp_6.rt,key_resp_11.keys,key_resp_11.rt,date,frameRate,expName,participant,Scr or Whi,
,,,,,,,,,,,,,,,,,space,0.985439870041,,,,,2018_May_10_1003,60.0262024685,Arrows_VVA_Direction,,Whi,
right_word_1_WHI.jpg,right,1,_WHI,word,0,0,0,0,0,0,0,6,,,,,,,space,0.101049045566,f,0.201342963206,2018_May_10_1003,60.0262024685,Arrows_VVA_Direction,,Whi,
left_word_3_WHI.jpg,left,3,_WHI,word,0,0,0,0,0,1,1,2,,,,,,,,,j,0.0511152253021,2018_May_10_1003,60.0262024685,Arrows_VVA_Direction,,Whi,
left_word_2_WHI.jpg,left,2,_WHI,word,0,0,0,0,0,2,2,5,,,,,,,,,f,0.118457654899,2018_May_10_1003,60.0262024685,Arrows_VVA_Direction,,Whi,
right_word_3_WHI.jpg,right,3,_WHI,word,0,0,0,0,0,3,3,1,,,,,,,,,j,0.151268415968,2018_May_10_1003,60.0262024685,Arrows_VVA_Direction,,Whi,
right_word_2_WHI.jpg,right,2,_WHI,word,0,0,0,0,0,4,4,3,,,,,,,,,j,0.101097319915,2018_May_10_1003,60.0262024685,Arrows_VVA_Direction,,Whi,
left_word_1_WHI.jpg,left,1,_WHI,word,0,0,0,0,0,5,5,0,,,,,,,,,f,0.0340275673079,2018_May_10_1003,60.0262024685,Arrows_VVA_Direction,,Whi,
ahead_word_2_WHI.jpg,ahead,2,_WHI,word,0,0,0,0,0,6,6,7,,,,,,,,,j,0.0689287540736,2018_May_10_1003,60.0262024685,Arrows_VVA_Direction,,Whi,
ahead_word_1_WHI.jpg,ahead,1,_WHI,word,0,0,0,0,0,7,7,8,,,,,,,,,f,0.0345770172426,2018_May_10_1003,60.0262024685,Arrows_VVA_Direction,,Whi,
ahead_word_3_WHI.jpg,ahead,3,_WHI,word,0,0,0,0,0,8,8,4,,,,,,,,,j,0.285112716258,2018_May_10_1003,60.0262024685,Arrows_VVA_Direction,,Whi,
