Stimulus_Practice,Direction,Number,Background,Format,repeat_spatial_practice.thisRepN,repeat_spatial_practice.thisTrialN,repeat_spatial_practice.thisN,repeat_spatial_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_6.keys,key_resp_6.rt,key_resp_11.keys,key_resp_11.rt,date,frameRate,expName,participant,Scr or Whi,
,,,,,,,,,,,,,space,0.818042846513,,,,,2018_May_10_1004,59.9833280342,Arrows_VVA_Direction,,Whi,
left_schema_3_WHI.jpg,left,3,_WHI,schema,0,0,0,0,0,0,0,5,,,space,0.568439866591,f,0.18509410863,2018_May_10_1004,59.9833280342,Arrows_VVA_Direction,,Whi,
ahead_schema_1_WHI.jpg,ahead,1,_WHI,schema,0,0,0,0,0,1,1,4,,,,,j,0.0510581738199,2018_May_10_1004,59.9833280342,Arrows_VVA_Direction,,Whi,
right_schema_1_WHI.jpg,right,1,_WHI,schema,0,0,0,0,0,2,2,1,,,,,f,0.0342668910162,2018_May_10_1004,59.9833280342,Arrows_VVA_Direction,,Whi,
right_schema_2_WHI.jpg,right,2,_WHI,schema,0,0,0,0,0,3,3,7,,,,,j,0.050963965652,2018_May_10_1004,59.9833280342,Arrows_VVA_Direction,,Whi,
left_schema_2_WHI.jpg,left,2,_WHI,schema,0,0,0,0,0,4,4,8,,,,,f,0.000381513673346,2018_May_10_1004,59.9833280342,Arrows_VVA_Direction,,Whi,
ahead_schema_2_WHI.jpg,ahead,2,_WHI,schema,0,0,0,0,0,5,5,0,,,,,j,0.0678801765898,2018_May_10_1004,59.9833280342,Arrows_VVA_Direction,,Whi,
left_schema_1_WHI.jpg,left,1,_WHI,schema,0,0,0,0,0,6,6,6,,,,,f,0.0344936342444,2018_May_10_1004,59.9833280342,Arrows_VVA_Direction,,Whi,
right_schema_3_WHI.jpg,right,3,_WHI,schema,0,0,0,0,0,7,7,2,,,,,j,0.0511573556578,2018_May_10_1004,59.9833280342,Arrows_VVA_Direction,,Whi,
ahead_schema_3_WHI.jpg,ahead,3,_WHI,schema,0,0,0,0,0,8,8,3,,,,,f,0.0175437775324,2018_May_10_1004,59.9833280342,Arrows_VVA_Direction,,Whi,
