Stimulus_Practice,Direction,Number,Background,Format,repeat_spatial_practice.thisRepN,repeat_spatial_practice.thisTrialN,repeat_spatial_practice.thisN,repeat_spatial_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_6.keys,key_resp_6.rt,key_resp_11.keys,key_resp_11.rt,date,frameRate,expName,participant,Scr or Whi,
,,,,,,,,,,,,,,,,,,,,,space,0.735297972686,,,,,2018_May_10_1004,59.863982268,Arrows_VVA_Direction,,Whi,
ahead_word_3_WHI.jpg,ahead,3,_WHI,word,0,0,0,0,0,0,0,4,,,,,,,,,,,space,0.134687492333,f,0.184528859856,2018_May_10_1004,59.863982268,Arrows_VVA_Direction,,Whi,
right_word_3_WHI.jpg,right,3,_WHI,word,0,0,0,0,0,1,1,1,,,,,,,,,,,,,j,0.0509192022146,2018_May_10_1004,59.863982268,Arrows_VVA_Direction,,Whi,
ahead_word_1_WHI.jpg,ahead,1,_WHI,word,0,0,0,0,0,2,2,8,,,,,,,,,,,,,f,0.0171376878279,2018_May_10_1004,59.863982268,Arrows_VVA_Direction,,Whi,
left_word_1_WHI.jpg,left,1,_WHI,word,0,0,0,0,0,3,3,0,,,,,,,,,,,,,j,0.0678061559447,2018_May_10_1004,59.863982268,Arrows_VVA_Direction,,Whi,
right_word_2_WHI.jpg,right,2,_WHI,word,0,0,0,0,0,4,4,3,,,,,,,,,,,,,f,0.0340094278217,2018_May_10_1004,59.863982268,Arrows_VVA_Direction,,Whi,
left_word_2_WHI.jpg,left,2,_WHI,word,0,0,0,0,0,5,5,5,,,,,,,,,,,,,j,0.051247175259,2018_May_10_1004,59.863982268,Arrows_VVA_Direction,,Whi,
ahead_word_2_WHI.jpg,ahead,2,_WHI,word,0,0,0,0,0,6,6,7,,,,,,,,,,,,,f,0.000335579912644,2018_May_10_1004,59.863982268,Arrows_VVA_Direction,,Whi,
left_word_3_WHI.jpg,left,3,_WHI,word,0,0,0,0,0,7,7,2,,,,,,,,,,,,,j,0.0678017673781,2018_May_10_1004,59.863982268,Arrows_VVA_Direction,,Whi,
right_word_1_WHI.jpg,right,1,_WHI,word,0,0,0,0,0,8,8,6,,,,,,,,,,,,,f,0.0340495101409,2018_May_10_1004,59.863982268,Arrows_VVA_Direction,,Whi,
ahead_schema_1_WHI.jpg,ahead,1,_WHI,schema,0,0,0,0,,,,,0,0,0,4,,,,,,,,,f,0.284939513716,2018_May_10_1004,59.863982268,Arrows_VVA_Direction,,Whi,
left_schema_2_WHI.jpg,left,2,_WHI,schema,0,0,0,0,,,,,0,1,1,8,,,,,,,,,j,0.0511749099824,2018_May_10_1004,59.863982268,Arrows_VVA_Direction,,Whi,
ahead_schema_3_WHI.jpg,ahead,3,_WHI,schema,0,0,0,0,,,,,0,2,2,3,,,,,,,,,f,0.0513946314459,2018_May_10_1004,59.863982268,Arrows_VVA_Direction,,Whi,
ahead_schema_2_WHI.jpg,ahead,2,_WHI,schema,0,0,0,0,,,,,0,3,3,0,,,,,,,,,j,0.0678930497379,2018_May_10_1004,59.863982268,Arrows_VVA_Direction,,Whi,
left_schema_1_WHI.jpg,left,1,_WHI,schema,0,0,0,0,,,,,0,4,4,6,,,,,,,,,f,0.0335544786067,2018_May_10_1004,59.863982268,Arrows_VVA_Direction,,Whi,
left_schema_3_WHI.jpg,left,3,_WHI,schema,0,0,0,0,,,,,0,5,5,5,,,,,,,,,j,0.0670381548698,2018_May_10_1004,59.863982268,Arrows_VVA_Direction,,Whi,
right_schema_1_WHI.jpg,right,1,_WHI,schema,0,0,0,0,,,,,0,6,6,1,,,,,,,,,f,0.0513027638663,2018_May_10_1004,59.863982268,Arrows_VVA_Direction,,Whi,
right_schema_2_WHI.jpg,right,2,_WHI,schema,0,0,0,0,,,,,0,7,7,7,,,,,,,,,j,0.0173351738486,2018_May_10_1004,59.863982268,Arrows_VVA_Direction,,Whi,
right_schema_3_WHI.jpg,right,3,_WHI,schema,0,0,0,0,,,,,0,8,8,2,,,,,,,,,f,0.034656889271,2018_May_10_1004,59.863982268,Arrows_VVA_Direction,,Whi,
