color,answer,repeat_color_practice.thisRepN,repeat_color_practice.thisTrialN,repeat_color_practice.thisN,repeat_color_practice.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_8.keys,key_resp_8.rt,key_resp_9.keys,key_resp_9.rt,key_resp_6.keys,key_resp_6.rt,key_resp_11.keys,key_resp_11.rt,colorpractice_numVertices,colorpractice_correct,key_resp_13.keys,key_resp_13.rt,color_response.keys,color_response.rt,date,frameRate,expName,participant,
,,,,,,,,,,,,,,f,9.87724842556,,,,,,,,,,,,,,,2018_Oct_02_1041,60.1936925684,Arrows_VVA_Color,1002,
,,,,,,,,,,,,,,,,f,8.16361134997,,,,,,,,,,,,,2018_Oct_02_1041,60.1936925684,Arrows_VVA_Color,1002,
,,,,,,,,,,,,,,,,,,f,8.28053193346,,,,,,,,,,,2018_Oct_02_1041,60.1936925684,Arrows_VVA_Color,1002,
#fdae61,o,0,0,0,0,0,0,0,3,,,,,,,,,,,d,30.5522912756,f,3.96580478787,3,,,,,,2018_Oct_02_1041,60.1936925684,Arrows_VVA_Color,1002,
#d7191c,r,0,0,0,0,0,1,1,1,,,,,,,,,,,,,a,1.95027169196,999,0,,,,,2018_Oct_02_1041,60.1936925684,Arrows_VVA_Color,1002,
#2c7bb6,b,0,0,0,0,0,2,2,7,,,,,,,,,,,,,f,7.66384763295,3,,,,,,2018_Oct_02_1041,60.1936925684,Arrows_VVA_Color,1002,
#fdae61,o,0,0,0,0,0,3,3,5,,,,,,,,,,,,,a,2.00027086642,6,0,,,,,2018_Oct_02_1041,60.1936925684,Arrows_VVA_Color,1002,
#2c7bb6,b,0,0,0,0,0,4,4,8,,,,,,,,,,,,,f,1.15080744521,999,,,,,,2018_Oct_02_1041,60.1936925684,Arrows_VVA_Color,1002,
#d7191c,r,0,0,0,0,0,5,5,2,,,,,,,,,,,,,a,1.10146245555,3,0,,,,,2018_Oct_02_1041,60.1936925684,Arrows_VVA_Color,1002,
#d7191c,r,0,0,0,0,0,6,6,0,,,,,,,,,,,,,f,1.16721025883,4,,,,,,2018_Oct_02_1041,60.1936925684,Arrows_VVA_Color,1002,
#2c7bb6,b,0,0,0,0,0,7,7,6,,,,,,,,,,,,,a,1.03478603115,999,0,,,,,2018_Oct_02_1041,60.1936925684,Arrows_VVA_Color,1002,
#fdae61,o,0,0,0,0,0,8,8,4,,,,,,,,,,,,,f,1.05133878071,3,,,,,,2018_Oct_02_1041,60.1936925684,Arrows_VVA_Color,1002,
#d7191c,r,0,0,0,0,1,0,9,1,,,,,,,,,,,,,a,0.934278524755,5,0,,,,,2018_Oct_02_1041,60.1936925684,Arrows_VVA_Color,1002,
#d7191c,r,0,0,0,0,1,1,10,2,,,,,,,,,,,,,f,0.951916971187,999,,,,,,2018_Oct_02_1041,60.1936925684,Arrows_VVA_Color,1002,
#d7191c,r,0,0,0,0,1,2,11,0,,,,,,,,,,,,,f,1.06686919919,6,0,,,,,2018_Oct_02_1041,60.1936925684,Arrows_VVA_Color,1002,
#2c7bb6,b,0,0,0,0,1,3,12,7,,,,,,,,,,,,,f,0.967382685165,3,,,,,,2018_Oct_02_1041,60.1936925684,Arrows_VVA_Color,1002,
#fdae61,o,0,0,0,0,1,4,13,5,,,,,,,,,,,,,a,1.33424826982,999,0,,,,,2018_Oct_02_1041,60.1936925684,Arrows_VVA_Color,1002,
#2c7bb6,b,0,0,0,0,1,5,14,8,,,,,,,,,,,,,f,1.1006311143,3,,,,,,2018_Oct_02_1041,60.1936925684,Arrows_VVA_Color,1002,
#fdae61,o,0,0,0,0,1,6,15,4,,,,,,,,,,,,,a,1.10108092212,6,0,,,,,2018_Oct_02_1041,60.1936925684,Arrows_VVA_Color,1002,
#2c7bb6,b,0,0,0,0,1,7,16,6,,,,,,,,,,,,,f,1.03378021087,5,,,,,,2018_Oct_02_1041,60.1936925684,Arrows_VVA_Color,1002,
#fdae61,o,0,0,0,0,1,8,17,3,,,,,,,,,,,,,a,1.00099555681,999,0,,,,,2018_Oct_02_1041,60.1936925684,Arrows_VVA_Color,1002,
#fdae61,o,1,0,1,0,0,0,0,4,,,,,,,,,,,d,6.74763995918,f,1.45052850189,3,,,,,,2018_Oct_02_1041,60.1936925684,Arrows_VVA_Color,1002,
#fdae61,o,1,0,1,0,0,1,1,3,,,,,,,,,,,,,f,0.917879727277,999,0,,,,,2018_Oct_02_1041,60.1936925684,Arrows_VVA_Color,1002,
#2c7bb6,b,1,0,1,0,0,2,2,8,,,,,,,,,,,,,f,1.26784717422,3,,,,,,2018_Oct_02_1041,60.1936925684,Arrows_VVA_Color,1002,
#fdae61,o,1,0,1,0,0,3,3,5,,,,,,,,,,,,,a,1.13405835096,5,0,,,,,2018_Oct_02_1041,60.1936925684,Arrows_VVA_Color,1002,
#d7191c,r,1,0,1,0,0,4,4,2,,,,,,,,,,,,,f,1.1179103392,4,,,,,,2018_Oct_02_1041,60.1936925684,Arrows_VVA_Color,1002,
#d7191c,r,1,0,1,0,0,5,5,1,,,,,,,,,,,,,f,1.08471068387,6,0,,,,,2018_Oct_02_1041,60.1936925684,Arrows_VVA_Color,1002,
#d7191c,r,1,0,1,0,0,6,6,0,,,,,,,,,,,,,f,1.0178004308,5,,,,,,2018_Oct_02_1041,60.1936925684,Arrows_VVA_Color,1002,
#2c7bb6,b,1,0,1,0,0,7,7,6,,,,,,,,,,,,,a,1.00091344903,3,0,,,,,2018_Oct_02_1041,60.1936925684,Arrows_VVA_Color,1002,
#2c7bb6,b,1,0,1,0,0,8,8,7,,,,,,,,,,,,,f,0.984678867109,5,,,,,,2018_Oct_02_1041,60.1936925684,Arrows_VVA_Color,1002,
#2c7bb6,b,1,0,1,0,1,0,9,6,,,,,,,,,,,,,f,1.00133916001,3,0,,,,,2018_Oct_02_1041,60.1936925684,Arrows_VVA_Color,1002,
#d7191c,r,1,0,1,0,1,1,10,0,,,,,,,,,,,,,f,0.984008171509,6,,,,,,2018_Oct_02_1041,60.1936925684,Arrows_VVA_Color,1002,
#fdae61,o,1,0,1,0,1,2,11,4,,,,,,,,,,,,,a,1.13390306017,3,0,,,,,2018_Oct_02_1041,60.1936925684,Arrows_VVA_Color,1002,
#2c7bb6,b,1,0,1,0,1,3,12,8,,,,,,,,,,,,,f,0.850567860071,4,,,,,,2018_Oct_02_1041,60.1936925684,Arrows_VVA_Color,1002,
#d7191c,r,1,0,1,0,1,4,13,2,,,,,,,,,,,,,a,1.01742826837,5,0,,,,,2018_Oct_02_1041,60.1936925684,Arrows_VVA_Color,1002,
#2c7bb6,b,1,0,1,0,1,5,14,7,,,,,,,,,,,,,f,1.01787406006,999,,,,,,2018_Oct_02_1041,60.1936925684,Arrows_VVA_Color,1002,
#fdae61,o,1,0,1,0,1,6,15,5,,,,,,,,,,,,,a,1.01753045685,6,0,,,,,2018_Oct_02_1041,60.1936925684,Arrows_VVA_Color,1002,
#d7191c,r,1,0,1,0,1,7,16,1,,,,,,,,,,,,,f,1.03412649149,999,,,,,,2018_Oct_02_1041,60.1936925684,Arrows_VVA_Color,1002,
#fdae61,o,1,0,1,0,1,8,17,3,,,,,,,,,,,,,a,0.984658786402,5,0,,,,,2018_Oct_02_1041,60.1936925684,Arrows_VVA_Color,1002,
,,,,,,,,,,,,,,,,,,,,,,,,,,d,17.3087457725,,,2018_Oct_02_1041,60.1936925684,Arrows_VVA_Color,1002,
#fdae61,o,,,,,,,,,0,0,0,28,,,,,,,,,,,3,,,,f,1.63464626943,2018_Oct_02_1041,60.1936925684,Arrows_VVA_Color,1002,
#d7191c,r,,,,,,,,,0,1,1,19,,,,,,,,,,,999,0,,,a,1.1004334309,2018_Oct_02_1041,60.1936925684,Arrows_VVA_Color,1002,
#2c7bb6,b,,,,,,,,,0,2,2,51,,,,,,,,,,,5,,,,f,1.13363085503,2018_Oct_02_1041,60.1936925684,Arrows_VVA_Color,1002,
#fdae61,o,,,,,,,,,0,3,3,34,,,,,,,,,,,999,0,,,a,0.934058083221,2018_Oct_02_1041,60.1936925684,Arrows_VVA_Color,1002,
#d7191c,r,,,,,,,,,0,4,4,0,,,,,,,,,,,5,,,,f,0.967632132165,2018_Oct_02_1041,60.1936925684,Arrows_VVA_Color,1002,
#2c7bb6,b,,,,,,,,,0,5,5,62,,,,,,,,,,,999,0,,,a,1.00087864247,2018_Oct_02_1041,60.1936925684,Arrows_VVA_Color,1002,
#d7191c,r,,,,,,,,,0,6,6,9,,,,,,,,,,,5,,,,f,1.11725169202,2018_Oct_02_1041,60.1936925684,Arrows_VVA_Color,1002,
#2c7bb6,b,,,,,,,,,0,7,7,47,,,,,,,,,,,4,0,,,a,0.935185280217,2018_Oct_02_1041,60.1936925684,Arrows_VVA_Color,1002,
